date,EW-L,EW-S,EW-LS,VW-L,VW-S,VW-LS
2019-01-01,0,0,0,0,0,0
2019-01-04,0.968041227,-0.386859699,0.581181527,-0.208210806,0.370923329,0.163484195
2019-01-07,4.105188075,-3.121365992,0.983822082,2.676588084,-2.835762862,-0.065783377
2019-01-08,6.643746269,-6.131621828,0.512124441,5.083425889,-5.178713493,0.054463573
2019-01-09,7.408921228,-6.476145027,0.9327762,5.237752168,-5.287021216,0.100649236
2019-01-10,7.885474882,-6.202457169,1.683017713,5.310217331,-4.670537195,0.78915322
2019-01-11,8.48413106,-7.708490182,0.775640877,5.782480303,-6.273961498,-0.334392983
2019-01-14,8.944827714,-7.017006579,1.927821135,5.014956703,-5.657118892,-0.48033609
2019-01-15,8.346364879,-6.723226171,1.623138708,4.073872507,-5.490169144,-1.252893315
2019-01-16,10.08928256,-7.516142738,2.573139824,5.34304828,-7.337027445,-1.807070432
2019-01-17,10.21509082,-7.803886795,2.411204022,5.594382956,-7.074142903,-1.293510241
2019-01-18,11.26151842,-9.778320352,1.483198072,7.350147013,-9.198598277,-1.624838107
2019-01-22,11.51168362,-10.00215289,1.509530727,7.15104136,-9.22861472,-1.854020036
2019-01-23,10.08962831,-9.598783178,0.490845134,5.936165215,-8.639187678,-2.472286106
2019-01-24,9.5134481,-8.384466219,1.128981881,5.47903826,-8.110231804,-2.398040079
2019-01-25,10.56248165,-9.480041218,1.082440433,6.134148843,-8.566956688,-2.19666533
2019-01-28,9.864991366,-9.815951626,0.04903974,5.978915892,-7.972476735,-1.756497526
2019-01-29,10.56507496,-11.37634584,-0.81127088,6.974890003,-8.392151043,-1.176029969
2019-01-30,11.46687607,-11.08825421,0.378621854,7.282910016,-8.457682497,-0.933339806
2019-01-31,14.55880387,-11.47569676,3.083107107,9.56277377,-8.887322683,0.926588522
2019-02-01,15.97424807,-12.2568726,3.717375468,11.03595066,-10.19028816,1.115977059
2019-02-04,15.96531993,-12.36433647,3.60098346,11.29308414,-10.68419201,0.880478179
2019-02-05,16.87105899,-12.67845034,4.192608649,12.45412087,-11.40348304,1.330556402
2019-02-06,16.47646226,-16.90518107,-0.428718816,13.13712156,-12.13350905,1.288518234
2019-02-07,16.53257994,-15.91054047,0.622039465,11.5519202,-11.33144695,0.518142509
2019-02-08,14.5490471,-16.00943742,-1.460390316,10.82970192,-12.13322901,-1.011692927
2019-02-11,16.12935675,-17.44604015,-1.316683392,11.46998474,-13.64733631,-1.875780756
2019-02-12,16.65344362,-18.70089711,-2.047453493,11.97737638,-14.56679797,-2.283175971
2019-02-13,16.57768153,-20.22626987,-3.648588331,12.16280642,-15.65651745,-3.185435599
2019-02-14,16.21331224,-20.26705628,-4.053744041,12.14064124,-15.38081324,-2.931835541
2019-02-15,17.67450476,-21.29350868,-3.619003921,13.61633965,-16.74292965,-2.798165895
2019-02-19,17.86807479,-22.05299359,-4.184918799,13.52481399,-16.72483606,-2.871581397
2019-02-20,19.02620837,-22.49113799,-3.464929622,13.84331224,-17.10021747,-2.927268655
