,,,,,0.044%,-0.0069%,,,,,,,,0.09%,0.10%,,,,,,,,,,
DATE,long value,EARNING LONG,short value,EARNING SHORT,profit long,,,,DATE,long value,EARNING LONG,short value,EARNING SHORT,,,,,0,0,0,0,0,0,282,155
03 01 2019,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
04 01 2019,1,0.997920058,1,0.992191634,-0.21%,0.007869816,,,04 01 2019,1,0.994120975,1,0.995575404,-0.59%,0.44%,,,,,,,,,,
07 01 2019,1,1.029268122,1,1.032586544,2.93%,-0.031558172,,,07 01 2019,1,1.032627859,1,1.02432471,3.26%,-2.37%,,,,,,,,,,
08 01 2019,1,1.024360359,1,1.023706133,2.44%,-0.023157167,,,08 01 2019,1,1.020051403,1,1.016848205,2.01%,-1.66%,,,,,,,,,,
09 01 2019,1,1.001544454,1,1.001083664,0.15%,-0.001082491,,,09 01 2019,1,0.999422854,1,1.005302706,-0.06%,-0.53%,, vb,,,,,,,,
10 01 2019,1,1.000750219,1,0.994332176,0.08%,0.005700132,,,10 01 2019,1,1.000895894,1,0.996397323,0.09%,0.36%,,,,,,,,,,
11 01 2019,1,1.004733799,1,1.016163481,0.47%,-0.015906379,,,11 01 2019,1,1.003994287,1,1.013190308,0.40%,-1.30%,,,,,,,,,,
14 01 2019,1,0.992354143,1,0.99385056,-0.76%,0.00618749,,,14 01 2019,1,0.998516796,1,0.988503235,-0.15%,1.16%,,,,,,,,,,
15 01 2019,1,0.990633301,1,0.998331895,-0.94%,0.001670892,,,15 01 2019,1,1.005537091,1,0.997592891,0.55%,0.24%,,,,,,,,,,
16 01 2019,1,1.01277264,1,1.018715721,1.28%,-0.018371878,,,16 01 2019,1,1.011315603,1,1.005564996,1.13%,-0.55%,,,,,,,,,,
17 01 2019,1,1.002516508,1,0.997374607,0.25%,0.002632304,,,17 01 2019,1,1.000116524,1,0.998219145,0.01%,0.18%,,,,,,,,,,
18 01 2019,1,1.017712682,1,1.021471826,1.77%,-0.021020478,,,18 01 2019,1,1.015045683,1,1.018910342,1.50%,-1.86%,,,,,,,,,,
22 01 2019,1,0.998010924,1,1.000300209,-0.20%,-0.000300119,,,22 01 2019,1,0.999330213,1,0.99287007,-0.07%,0.72%,,,,,,,,,,
23 01 2019,1,0.987924737,1,0.994123067,-1.21%,0.005911676,,,23 01 2019,1,0.986580127,1,0.999399676,-1.34%,0.06%,,,,,,,,,,
24 01 2019,1,0.995439163,1,0.994910353,-0.46%,0.005115684,,,24 01 2019,1,0.997774128,1,0.996843633,-0.22%,0.32%,,,,,,,,,,
25 01 2019,1,1.006572611,1,1.002463676,0.66%,-0.002457621,,,25 01 2019,1,1.009648343,1,1.006600269,0.96%,-0.66%,,,,,,,,,,
28 01 2019,1,0.998448875,1,0.994072836,-0.16%,0.005962505,,,28 01 2019,1,0.998141581,1,0.991625753,-0.19%,0.84%,,,,,,,,,,
29 01 2019,1,1.010009504,1,1.004205562,1.00%,-0.004187949,,,29 01 2019,1,1.011500291,1,0.998278117,1.15%,0.17%,,,,,,,,,,
30 01 2019,1,1.003084949,1,1.000655529,0.31%,-0.0006551,,,30 01 2019,1,1.004955875,1,1.00286448,0.50%,-0.29%,,,,,,,,,,
31 01 2019,1,1.023060513,1,1.004305645,2.31%,-0.004287186,,,31 01 2019,1,1.01761237,1,1.005225498,1.76%,-0.52%,,,,,,,,,,
01 02 2019,1,1.014840816,1,1.013114911,1.48%,-0.012945136,,,01 02 2019,1,1.006131547,1,1.011504167,0.61%,-1.14%,,,,,,,,,,
04 02 2019,1,1.002574644,1,1.004951256,0.26%,-0.004926862,,,04 02 2019,1,1.002095055,1,1.00170099,0.21%,-0.17%,,,,,,,,,,
05 02 2019,1,1.011678029,1,1.007218841,1.17%,-0.007167103,,,05 02 2019,1,1.006161544,1,1.00693701,0.62%,-0.69%,,,,,,,,,,
06 02 2019,1,1.006853385,1,1.007326972,0.69%,-0.007273678,,,06 02 2019,1,1.001874365,1,1.009234119,0.19%,-0.91%,,,,,,,,,,
07 02 2019,1,0.984272968,1,0.992011458,-1.57%,0.008052872,,,07 02 2019,1,0.987246274,1,0.984773534,-1.28%,1.55%,,,,,,,,,,
08 02 2019,1,0.992803835,1,1.008050049,-0.72%,-0.007985764,,,08 02 2019,1,0.990006715,1,1.005591304,-1.00%,-0.56%,,,,,,,,,,
11 02 2019,1,1.00642337,1,1.01525628,0.64%,-0.015027023,,,11 02 2019,1,0.999533261,1,1.00868959,-0.05%,-0.86%,,,,,,,,,,
12 02 2019,1,1.005086811,1,1.009237017,0.51%,-0.009152475,,,12 02 2019,1,1.013142489,1,1.011605712,1.31%,-1.15%,,,,,,,,,,
13 02 2019,1,1.001856021,1,1.010956785,0.19%,-0.010838035,,,13 02 2019,1,1.001976906,1,1.007074754,0.20%,-0.70%,,,,,,,,,,
14 02 2019,1,0.999778373,1,0.997246755,-0.02%,0.002760846,,,14 02 2019,1,0.996080738,1,0.999961145,-0.39%,0.00%,,,,,,,,,,
15 02 2019,1,1.014866406,1,1.011839954,1.49%,-0.011701409,,,15 02 2019,1,1.013214232,1,1.016211189,1.32%,-1.60%,,,,,,,,,,
19 02 2019,1,0.999085162,1,0.99981908,-0.09%,0.000180952,,,19 02 2019,1,1.000951574,1,1.00344422,0.10%,-0.34%,,,,,,,,,,
20 02 2019,1,1.00319006,1,1.003739786,0.32%,-0.003725852,,,20 02 2019,1,1.004447408,1,1.003836794,0.44%,-0.38%,,,,,,,,,,
21 02 2019,1,0.993915962,1,1.001344887,-0.61%,-0.001343081,,,21 02 2019,1,0.993445516,1,1.003045126,-0.66%,-0.30%,,,,,,,,,,
22 02 2019,1,0.99534354,1,1.00324314,-0.47%,-0.003232656,,,22 02 2019,1,0.994434591,1,0.999914084,-0.56%,0.01%,,,,,,,,,,
25 02 2019,1,1.015364188,1,1.012823566,1.54%,-0.012661204,,,25 02 2019,1,1.007274053,1,1.015074138,0.73%,-1.49%,,,,,,,,,,
26 02 2019,1,0.99252966,1,0.992138096,-0.75%,0.007924203,,,26 02 2019,1,0.996729216,1,0.991377519,-0.33%,0.87%,,,,,,,,,,
27 02 2019,1,0.997952416,1,0.994585716,-0.20%,0.005443759,,,27 02 2019,1,0.998018378,1,1.000609027,-0.20%,-0.06%,,,,,,,,,,
