date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda,normalised error
2010-1-1,100,0.030067956887201736,0.0373257395841125,88,5,20418.338495129596
2010-5-1,100,0.02492021990627746,0.003999241020115491,92,5,20725.349488129217
2010-9-1,25,0.1372252451555927,0.1244816903652216,90,5,20670.593882077566
2011-1-1,50,0.1053626339420465,0.07193025971043558,90,5,20265.164454223916
2011-5-1,25,0.15794663422406177,0.14984680682795606,86,1,19331.264621898856
2011-9-1,100,0.05048777566980392,0.030033753731780792,90,5,19408.77838247961
2012-1-1,100,0.00039286645816285094,1.2788621684988636e-07,94,5,20584.084421517076
2012-5-1,50,0.08322280722468804,0.06968495905306568,90,10,21861.271277439413
2012-9-1,25,0.1387770018086667,0.16872135249356182,86,5,22278.581147273224
2013-1-1,100,0.07468513724601647,0.06195322456963052,86,10,21746.2904596175
2013-5-1,25,0.14941049453778713,0.16912437923374513,86,5,22424.427360609905
2013-9-1,100,0.012330645980624765,0.010789315233046671,94,5,23434.642719411007
2014-1-1,100,0.01923301964565169,0.008098113535011237,94,5,24850.177726584905
2014-5-1,100,0.06676350641859917,0.05019812512676628,90,5,24321.53124495484
2014-9-1,100,0.023603336896189615,0.029127522127212715,94,5,23520.533391152632
2015-1-1,100,0.024312883264518675,0.025684379243542804,94,5,22808.487396397257
2015-5-1,100,0.022049891923154832,0.029566900533321252,94,5,23600.030374143716
2015-9-1,100,0.06637437517894636,0.06175456781563901,90,5,26537.260867773046
2016-1-1,50,0.13615844060012086,0.12599736294339542,88,5,29971.52208410119
