word,O+ value,O- value
post downbeat,0.002687398689048856,0.01165790794950178
fall afterhours,0.002306142894242274,0.013193758343310743
consumer goods,0.02840411235484432,0.0
goods lead,0.011480860307180226,0.0
previous quarter,0.010041347667774732,0.05952363296931802
profit lift,0.008585287010706245,0.0074448910730920605
spike higher,0.15645558532959536,0.0916104763858228
seven hot,0.003833388197212475,0.012985986145650535
higher heavy,0.09727337202791775,0.040440584136315516
put purchase,0.013960419945890352,0.03312475336864246
week low,0.11530911683031368,0.27267251167482615
top narrow,0.007480832554791765,0.002702995875652006
narrow base,0.007480832554791765,0.002702995875652006
base index,0.007480832554791765,0.002702995875652006
fall previous,0.0,0.01901449010888107
sector performance,0.005912411693359835,0.012647805177410393
public offer,0.020659776394784446,0.06383662863343115
offer common,0.011168430949953515,0.033549256423043024
week high,0.12670684829942372,0.0852774881639168
definitive agreement,0.011256834727691014,0.005983130396098551
price public,0.002275953395000218,0.012577128842392432
secondary offer,0.009427082716607743,0.0181718536568407
rise afterhours,0.014517716878467325,0.0
cut job,0.01106369613631499,0.01054889248981851
lift forecast,0.008021323263625407,0.005063258443404441
third quarter,0.005348861962552041,0.013454941569937982
declare special,0.010019522715719374,0.007755253598681475
court decision,0.003835933466420003,0.011992538721329464
propose public,0.0006905762621713952,0.006159501576294825
perform remove,0.005302854958300089,0.010716395479995564
business today,0.011428680293700826,0.006726808932365269
session low,0.023853395972446952,0.008727719819311744
lead basic,0.014001245984190096,0.0
basic lag,0.014001245984190096,0.0
repurchase authorization,0.00966622365787719,0.006611591345575985
thermo fisher,0.0268803221373562,0.0
fisher scientific,0.015622251788293542,0.0
lead consumer,0.017104436916518452,0.0
republic service,0.01857381280679667,0.0
goods lag,0.012428120452828857,0.0
prelim close,0.0,0.022555593904561633
northern oil,0.005722187616968048,0.0070914170243294794
first horizon,0.0,0.02388650362360015
horizon national,0.0,0.014657486166867918
green go,0.010039323686722555,0.005417355935099252
green afternoon,0.01166085033570911,0.0063942865658104375
green midday,0.029230668139465885,0.01587322527954176
green initial,0.008683236434516451,0.004720121357801307
mix midday,0.01594543337863282,0.009825837090222438
care lag,0.03617121167429364,0.0
