word,O+ value,O- value
top gainer,0.1435085082585311,0.02194886998164406
volume mover,0.10450542662531821,0.0
week high,0.19885206738887465,0.0
follow solid,0.010588438703353692,0.007576474987235328
worst perform,0.0005427397920991895,0.06123955152642962
public offer,0.0022878286123100048,0.041655749696582235
cap mover,0.011736497704516485,0.0
spike higher,0.139653058899815,0.045023452085929484
perform remove,0.0010636223382832501,0.03848176534462164
week low,0.0,0.18468746708261718
session low,0.004895476071308845,0.008762585181144278
midday gainer,0.025941546178227432,0.0
hold remove,0.005761474638771546,0.041396307875177174
gross proceed,0.001731443544306163,0.012260819759594106
offer common,0.003972587517695813,0.028551563870565143
move higher,0.05992138486675781,0.016413826936426085
session high,0.01194287651285922,0.005302116864953482
post downbeat,0.005515029286558869,0.026080414804281637
sector perform,0.01618512542493796,0.044781100396284274
file mix,0.005285143735201364,0.013405729432266388
standpoint research,0.015810833900220183,0.012843470096380505
federal reserve,0.002464774852730536,0.012191466925090067
next quarter,0.006079920407845088,0.008089886823663683
crude oil,0.00925321458483073,0.01823696464580006
adobe system,0.0,0.040401626212669774
general dynamic,0.022832749818284863,0.003010820350673413
ahead job,0.005748154639636019,0.006692032614450337
diversified utility,0.0029744672015707676,0.01201630842496915
estimate next,0.005900838916166481,0.007851140188448786
big short,0.0026877703994564878,0.0102919787080178
eagle outfitter,0.0,0.047362214914952856
dow suffer,0.005222718594509293,0.014255458687950041
point loss,0.0018429785243706323,0.004945521367410979
secondary offer,0.006031033244943764,0.02497146251475625
profit lift,0.010719845444444362,0.004518548968414874
third point,0.006734530228234831,0.006614514063470483
wood upgrade,0.021272587700140184,0.009709247208103079
business today,0.011689006168746519,0.0027265348485713057
sell holder,0.0038419177699549707,0.0152125625278094
suffer triple,0.0015415940949719104,0.004281208219735833
cruise line,0.011487923677987929,0.0011264941117385496
sharply lower,0.0020029207384696613,0.013001153822089924
brent slide,0.010764028402470701,0.008282539153887094
brent slip,0.00938078809610416,0.010014273771207
lumber liquid,0.0,0.04598355260963983
inform service,0.012795498895308885,0.0009554834003581979
micron technology,0.0,0.05630402804489562
alto network,0.029706774735282503,0.0
steel dynamic,0.012694590562599426,0.000541710949093039
white petroleum,0.014628262300992564,0.0
