word,O+ value,O- value
ahead economic,0.0014014072037692295,0.0012776339840453504
economic data,0.0023228915210735156,0.001891409537453354
keep eye,0.01002194201126589,0.012840560185705636
biggest price,0.0039255387115381905,0.0042257007773574135
target chang,0.006213043089102388,0.005804814500146932
convict buy,0.0026508581020876754,0.0028338411328982516
move session,0.030630467369627736,0.03427685767419752
stock hit,0.01770463988967327,0.019962161812557295
week high,0.017211178594453872,0.004650589295712447
volume mover,0.03413644209394156,0.004213516002765452
midmorn market,0.021904852652118934,0.026052954679622077
open lower,0.0031288135221015246,0.00520983439342296
initiate coverage,0.09999666461170842,0.08601357051086483
profit beat,0.002238007195052911,0.0020554179737137137
beat view,0.0013748811217156147,0.0017910023681044988
spike higher,0.01942717257445541,0.01416109957412417
option alert,0.023244066597708113,0.023278611416540994
alert call,0.009883476665346518,0.006397733549405509
call contract,0.004896257550830255,0.003497288555487056
sweep ask,0.008695632078376831,0.007298268298194996
morn market,0.03292262668191699,0.03888598499662889
cut outlook,0.0007174110035311797,0.0032647857731332394
urban outfitter,0.007237656056501488,0.00016064677738942504
economic calendar,0.004084957780062195,0.004217834828876576
term disclosed,0.021202891551383822,0.023872770758946938
midday loser,0.0,0.03369532714065861
prior year,0.0064818399459482985,0.00714851586692842
year quarter,0.00572087846161514,0.006415130201173893
quarter rev,0.0016374365101903547,0.0019093804861891944
last year,0.011826433703939715,0.010875968659467777
resume trade,0.0060044667199413105,0.010053536624391762
highest roi,0.003793448007513077,0.001968135474539456
estimate avail,0.003449364104577407,0.0036402789038964918
worst perform,0.00160994991190911,0.04148059459299579
midafternoon market,0.01443834218308145,0.015740308218432357
update crude,0.004331435851963346,0.004720894896737421
crude oil,0.007810605623793451,0.006950557791048015
midday gainer,0.035248276956403014,0.0017727520000783512
week low,0.0012767383839018204,0.015791855647813085
rise follow,0.0024886707113819326,0.002205300368596344
halt news,0.002233242878873268,0.0033404406986120654
news pend,0.002625838114632676,0.003497435406785373
three day,0.005623139241195276,0.0033607127116328365
day increasing,0.003044063671523265,0.0022252341272607705
increasing volume,0.004222616971506999,0.004193819981799523
plummet three,0.00043650652695628793,0.0008148019975162394
top initiation,0.03515706516788339,0.03243840570664563
focus list,0.0020871450751614616,0.0019314336578981628
future edge,0.0033283354981702025,0.004008011843425697
four day,0.0020787056365467464,0.002350828067021941
day sold,0.002154473391025502,0.0023698080486209646
huge call,0.00494872228289796,0.0036565593406009092
call purchase,0.004987413265754986,0.003674724667239431
spike high,0.011527676288550958,0.006269008482662097
high volume,0.004880185408205216,0.002422793003301203
ask trade,0.012643772803009264,0.011863605647378412
sold yesterday,0.0013704094169480739,0.001997790724995831
notable stock,0.010105113908722858,0.011808958516701188
dick sport,0.0,0.0023995939254851458
insider buy,0.0021583681195817433,0.0010572058293681348
f show,0.0041564523050030226,0.0017311647524084872
stern age,0.004241256222331742,0.005743074418959045
hear unconfirm,0.003980170987389314,0.0037569000908870363
update dow,0.005170298332696403,0.005856149125146877
street journal,0.0029062459225027227,0.0022683744228012156
file show,0.002610248150958274,0.005495064358986286
