date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda,normalised error
2010-1-1,100,0.3638817895206893,0.4197438332108768,90,5,20600.315179844823
2010-5-1,25,0.4683686429653785,0.5316312312497928,86,5,20770.381258654183
2010-9-1,100,0.2975164051882474,0.33844178360222266,94,5,20665.743801389144
2011-1-1,100,0.29379161380736696,0.33128443556778076,94,5,20283.97776191428
2011-5-1,100,0.28161101101244834,0.31838899315835256,94,5,19345.445788486337
2011-9-1,100,0.2697489186836465,0.33025106399965387,94,5,19492.594197114446
2012-1-1,25,0.46360633535471507,0.5363935429921289,86,5,20684.485014582
2012-5-1,100,0.3246248496153849,0.3658512404771597,92,10,21866.551250882625
2012-9-1,100,0.27421350643967524,0.31606437007770904,94,5,22266.25530510662
2013-1-1,100,0.2662544831345244,0.3265669973077134,94,5,21728.031416612714
2013-5-1,100,0.28126267723400883,0.33123741546845303,94,5,22414.71155728695
2013-9-1,25,0.47389234865561763,0.5261074364061726,90,5,23518.234274855295
2014-1-1,100,0.36441510907550567,0.3932793430653252,92,10,24991.462251426947
2014-5-1,100,0.3172521508011629,0.3343195133442634,94,5,24371.86534312315
2014-9-1,100,0.38574852372589247,0.41425148531584416,92,5,23618.86690415216
2015-1-1,100,0.33545873582327784,0.34711316414574345,94,5,22966.088643479565
2015-5-1,100,0.3329928372287272,0.34649433410643404,94,5,23757.156255096023
2015-9-1,100,0.33124959157488154,0.3610581030840788,94,5,26530.71749899764
2016-1-1,100,0.32590676694866166,0.36640099329865145,94,10,30140.416189295796
