date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda
2010-1-1,25,0.08199351651041399,0.1147909231145796,94,5
2010-5-1,100,0.04862937069025563,0.04862937069025563,92,5
2010-9-1,100,0.04862937069025563,0.04862937069025563,92,5
2011-1-1,25,0.1006376490158026,0.11741059051843637,92,5
2011-5-1,25,0.11733601827142097,0.11733601827142097,92,10
2011-9-1,25,0.11733601827142097,0.11733601827142097,92,10
2012-1-1,100,0.050194046057516206,0.016731348685838737,94,5
2012-5-1,100,0.08400208725933246,0.08400208725933246,86,10
2012-9-1,100,0.08400208725933246,0.08400208725933246,86,10
2013-1-1,100,0.08137734986828193,0.08137734986828193,86,5
2013-5-1,100,0.08098116895724,0.08098116895724,86,5
2013-9-1,100,0.08098116895724,0.08098116895724,86,5
2014-1-1,100,0.04835886851976323,0.08059811419960539,90,5
2014-5-1,100,0.04787742210282321,0.07979570350470536,90,5
2014-9-1,100,0.04787742210282321,0.07979570350470536,90,5
2015-1-1,100,0.04857281042084593,0.08095468403474321,90,5
2015-5-1,100,0.0812886212538035,0.0812886212538035,86,5
2015-9-1,100,0.0812886212538035,0.0812886212538035,86,5
2016-1-1,100,0.04377360177464174,0.03970163881886111,94,5
