date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda,normalised error
2010-1-1,25,0.08814303024869503,0.1024918956380175,94,5,20335.487572880513
2010-5-1,100,0.052681818247776936,0.05470804202653759,92,5,19959.890227629832
2010-9-1,100,0.052681818247776936,0.05470804202653759,92,5,19959.890227629832
2011-1-1,25,0.1006376490158026,0.11741059051843637,92,5,19376.5484382998
2011-5-1,25,0.11524073223085989,0.13828887867703185,90,10,20644.87374807053
2011-9-1,25,0.11524073223085989,0.13828887867703185,90,10,20644.87374807053
2012-1-1,100,0.08051961555059892,0.07633677837913924,88,5,22026.659624173277
2012-5-1,100,0.03990099144818292,0.036750913175957946,94,5,21701.102680038377
2012-9-1,100,0.03990099144818292,0.036750913175957946,94,5,21701.102680038377
2013-1-1,100,0.08544621736169604,0.0925667354751707,86,5,23700.108041843112
2013-5-1,100,0.07591984589741252,0.07996890434527451,88,5,24743.80465664712
2013-9-1,100,0.07591984589741252,0.07996890434527451,88,5,24743.80465664712
2014-1-1,100,0.08160559062710046,0.10175511917700181,86,5,23125.55778666065
2014-5-1,100,0.08578038126755826,0.09375995161802879,86,5,22767.221170731493
2014-9-1,100,0.08578038126755826,0.09375995161802879,86,5,22767.221170731493
2015-1-1,50,0.06172794657649171,0.07285921563126889,94,5,27338.925587179816
2015-5-1,100,0.0904335911448564,0.09449802220754656,86,5,29979.71446992946
2015-9-1,100,0.0904335911448564,0.09449802220754656,86,5,29979.71446992946
2016-1-1,100,0.04377360177464174,0.03970163881886111,94,5,31046.762610636968
