word,O+ value,O- value
strength,0.0024616582891309026,0.0015001151317901341
fall,0.01604297242190376,0.016614401094817627
lower,0.04506820473457696,0.10815201594744038
electronic,0.005080016866989067,0.0010286512509117926
overweight,0.0220584512059867,0.015952943655694284
raise,0.1662797521358035,0.12790377198036101
drop,0.0073096134568831714,0.011224312283454456
downgrade,0.04099342374793701,0.10313285967460374
improvement,0.0015859295205402696,0.000854519392950398
negative,0.004314871391333857,0.0051735945414579645
upgrade,0.10974173046352598,0.05071640139376517
strong,0.01260747343956845,0.007332586214107262
volume,0.013256367599054693,0.005583704057942474
life,0.00247322411551128,0.0021637229435738366
analysis,0.0018083575660845603,0.002384469623537077
solid,0.0037182973618087338,0.0021441209197310077
neutral,0.03936279269158118,0.05818225048400177
offer,0.018890073743662337,0.026024839816762884
mad,0.002278821789220576,0.0012156014794419683
mention,0.004954600972518899,0.0027715678092499127
cut,0.010285906985178731,0.012754680210136985
sell,0.017957525630793447,0.019613232358154913
authorize,0.0016232897160435183,0.0012495752878549534
weak,0.0033985582382364864,0.0046392603209934585
bill,0.00509670774695156,0.001184670834368055
price,0.014858718373782791,0.020367500790653397
conviction,0.001008182384384762,0.0006668314197278405
higher,0.031661682625796383,0.01976648660224061
downbeat,0.0012771903897837744,0.0033737255646363604
portfolio,0.004214543728392812,0.00338569262820178
base,0.0034467948660573057,0.0011142091702313547
leverage,0.0032506850677990746,0.0008115849226127878
scientific,0.007266791795011608,0.0009205799724616378
favorable,0.0016239029765347413,0.0011250181739440631
beat,0.00935445801510006,0.004840952050120013
declare,0.0034902636678141655,0.00296662738728445
special,0.0031352415756931507,0.0031055401244854796
public,0.004149128150304031,0.0035370784094755584
cap,0.004686800764802771,0.0025854953167109406
perform,0.015416798784234347,0.021607968605425153
challenge,0.0017736867776045105,0.0021218846559977215
underweight,0.001575823839048891,0.005033074639267524
cruise,0.0021804422729236376,0.0003501277883484277
low,0.009900219946068795,0.02187222454423044
spike,0.014482635635881218,0.007270081121616201
away,0.0012714045401379956,0.001460947076604904
mutual,0.00233435441366783,0.0010813522479189667
rumor,0.007293364026089507,0.002595842744841045
resume,0.0073128811253477845,0.01084152748297932
reduce,0.004992445828055456,0.005838207762532456
weakness,0.0012940756069725725,0.002041924915238373
impact,0.0022580626597863704,0.00305734841440586
uncertainty,0.0009687090997463907,0.0013179392357214447
highlight,0.0041305257705424635,0.001426513509974638
prelim,0.0025764672895379334,0.002348668664194869
aum,0.0012627129937473841,0.0011119559487002006
flow,0.0012602481516372152,0.0010924124461875635
remove,0.002811763185267172,0.005165878157255441
concern,0.002876215397684906,0.0031739655648442546
plummet,0.001469732297927302,0.0011219670857004634
subsidiary,0.0,0.005579185467512811
pivotal,0.0010516226092680602,0.0009010960421551116
attribute,0.0021544871683180657,0.0009899739683258517
shelf,0.00379903955406154,0.005427673142360235
quarterly,0.003999871230247716,0.0033708018246791783
repurchase,0.003958846974954745,0.0032461926219904684
notice,0.0009566949976169694,0.0014605600130005926
common,0.0032088804215173877,0.004531450055205444
propose,0.0018721364127186693,0.003137843958339583
tweet,0.0034042456577702,0.0025586748532222155
downside,0.0015226955750391685,0.001228899859257146
fail,0.0010611099411591686,0.0018955134009877466
reverse,0.002001900923283593,0.001493711031607668
exercise,0.0012527837298170442,0.0007701671668724451
resistance,0.0022762350162998136,0.0009812223792499248
tumble,0.0028608541918929693,0.0032108123461568484
register,0.0009782835142952773,0.0008276783967544907
secondary,0.0006710607474757666,0.0018191529725664576
halt,0.006716902462947811,0.006432216459930185
date,0.0016185157937408145,0.0016332767608993968
mine,0.0034736555880526417,0.005269347931707157
bed,0.0,0.0032624320920493634
adobe,0.0,0.006283035578854081
jack,0.001274967927486261,8.149181222903479e-05
payment,0.0025436133703313152,0.0017015551327975063
rebound,0.004645902089009813,0.001084516102191297
urban,0.0029794179110063618,0.0
six,0.002168213966469099,0.0009889677817118872
standpoint,0.001054873778654865,0.0008685907136761186
agency,0.0,0.002831725667441163
city,0.0013045774646530644,0.001829303031030526
blackberry,0.0011205956052198535,0.0014461767717160994
replace,0.0022243013697668735,0.0011496612956436955
create,0.001973285088120399,0.0015803078392832635
number,0.0013871009808823522,0.0016921513452047101
jump,0.006450240257016919,0.003335532838772798
ally,0.0,0.0033134352744109722
miss,0.002147158620191146,0.004576647432466745
struggle,0.002070018755766015,0.0010662150573269922
slide,0.002164273728957015,0.0026655072139591765
pressure,0.0021149902743353246,0.0024930510643307257
plunge,0.0010986535972330811,0.0036958144232367668
interview,0.0030689447772413113,0.0010495264759406585
appeal,0.0011465959940146493,0.001864045728523169
york,0.004569459643349865,0.0014433384885558058
clinical,0.002430146302966998,0.004352268378200455
resign,0.0016791657579156255,0.002089232248224286
license,0.002653449566191747,0.00533536835854934
litigation,0.0012713805776946479,0.0009344838057741027
resource,0.0010616147278341155,0.000712427636904088
exploration,0.0019149555515924023,0.0009464848900933757
discover,0.0,0.003668638373669514
improve,0.0033913904738793,0.003220268116898176
article,0.0009590449014834523,0.0012465518528154693
climb,0.0024130130654357327,0.001263124829724705
soar,0.0052881527606701536,0.0007517921273424894
sharply,0.0009727073722440656,0.0006869203783060837
volatility,0.0011669746185597348,0.0008332527870589066
settle,0.0018428110930663031,0.001520311084704846
war,0.0011701800872816026,0.0010340081749023165
video,0.0011418837765125342,0.0016402763312578646
crest,0.0008013754828198017,0.0007088430287036515
upcoming,0.0014094659984247597,0.0009802528107867557
machinery,0.0005974193092411008,0.004532895085439022
free,0.0013012528868944727,0.0005095480550506666
disappoint,0.0016624568427438845,0.0022543410525656536
solar,0.014209142688003204,0.005761157618240422
pile,0.0009551096435723111,0.0010877869941351755
retreat,0.0024213942167006213,0.0008204918002742082
lose,0.003734934706534129,0.002463355317640438
field,0.0014725113528572529,0.0011999686356362223
entertainment,0.0012742383555886699,0.0023764888979958304
elect,0.0009412050585777552,0.0015049192192075895
corporate,0.002111227337778422,0.0010248813987451008
motion,0.0013715114981112282,0.0007062561269818153
exposure,0.0030972428293617425,0.0011581447623943216
case,0.0024070175051774537,0.0031133778036040688
vaccine,0.0012957916679972473,0.0006906693240004341
warner,0.004172814950103976,0.0007606954569434398
lift,0.005560247874203421,0.0014496171580295812
problem,0.0011472695620002547,0.0006259844575383661
roll,0.0012640102552426854,0.0023595613994262066
myriad,0.002375345791522788,0.00044802692368943074
accelerate,0.00230220429315148,0.0009022220557089845
mountain,0.0009869769468983684,0.0012127820768385602
junk,0.0013921605874183181,0.0010262413080287377
tenet,0.001974448036197415,9.81738852266195e-06
think,0.002395432463573298,0.0005392131448734404
roundup,0.0013680407585020423,0.0010870476162516064
white,0.0031891308775048328,1.6183827803735696e-05
load,0.0015485402471854285,0.000611778578650685
country,0.0014352740176901081,0.001255142763504119
sink,0.0008068612647304279,0.0012404121643912512
robin,0.00204887965561806,0.0
independent,0.0014686216960190296,0.0006421657123211459
aspen,0.0,0.0029894417898662915
plug,0.0020797949558170516,0.0007189247721072526
bearish,0.0013185060120909668,0.0011423802422100798
clean,0.0004304726918104433,0.00306802258369541
collins,0.0,0.002696646929173344
delta,0.0,0.006805359695883774
approach,0.0021753568871444653,0.001178357507656291
blizzard,0.0,0.0036965066390005218
recall,0.0011059096302984475,0.0007936362461966042
quality,0.0008999655668241952,0.0010998563366376105
love,0.0025613816940956453,0.00042944242400340485
workday,0.001840571781609951,0.00017565101286590341
arena,0.0,0.005646143067130166
micron,0.005254134707336108,0.00014662381556351678
infinity,0.0014806908242478902,0.0005129840049343316
soon,0.002581513737855636,0.0002460326425088133
monster,0.0,0.0034737932799529985
paper,0.002783214767864921,0.0020643533430100437
southern,0.0028065180931228177,0.0009708902646571446
spectrum,0.0021287612068404496,0.0003477763640871319
bath,0.0,0.003137663272683074
hike,0.0015822335550892013,0.0004684116388379872
box,0.0012477983495145944,0.0010805245883323481
northern,0.001973365727476346,0.0005350979228756189
fisher,0.0020866343170007212,0.0
brown,0.0013539180669859872,0.0002969414870885866
drink,0.0006479469126325866,0.001968254287709413
pound,0.003489406593988791,0.0
thermo,0.0014234776810549638,0.0
resort,0.0019618540761363375,0.0005767570469402567
soup,0.001609807250312302,0.000548527534884624
governor,0.002626342972627205,0.000543012074885316
builder,0.0012450078867715637,0.0012453254291503223
intuit,0.0016268173709825617,0.0004401480058161029
carnival,0.0,0.0045066742089598264
railway,0.0009425170476200988,0.001157828226648493
consol,0.0,0.0022455261130054707
vera,0.0011524625463931128,0.0004981875039838028
tetra,0.0018646062330045286,0.00016713469270039988
