word,O+ value,O- value
raise,0.10544059023731395,0.06993967428440795
discover,0.004194207055435897,0.0
offer,0.01975226147411342,0.024141393604123818
social,0.0014300853733924073,0.003495094485558077
fall,0.00834583934823614,0.027036060694264778
regard,0.0010323674624440914,0.002019409760359683
announcement,0.0018352165880667353,0.0011380130717291033
put,0.018031584264705726,0.0258891192992198
active,0.0028913328137660176,0.0015729574991751657
short,0.006680745619378753,0.008315645227062204
convertible,0.0015459843747219861,0.0011569861469839964
outperform,0.02166388035840078,0.016645524726683198
miss,0.004048272989140312,0.011205746717418039
upgrade,0.05676167234778805,0.03591547225378026
sign,0.00966618124008128,0.009104419345800484
genetics,0.0038096154980223357,0.00023020905889294403
beat,0.01881444804883629,0.020324876483460437
higher,0.03302749579229681,0.01769097194854052
lower,0.03623221219486355,0.07097430931631109
improve,0.0025645287796302856,0.003038505282606236
world,0.0027645173151465583,0.006112896484227144
consumer,0.009910200606652925,0.0033400823783696527
goods,0.009385533500994091,0.0016779989816327085
revise,0.00172702211717792,0.002864605474008692
northern,0.003437290272655381,0.0002953248243001947
dip,0.0011202681081899657,0.0045527569715623694
previous,0.0014360568596642612,0.004897771105572329
high,0.019143991152910697,0.012257255498029118
downgrade,0.026502616165874626,0.06840587050064832
jump,0.005637401963735972,0.0025494948876327787
lift,0.0031959652833121856,0.001701759643329705
range,0.0041136010916006955,0.0011489255605414402
performance,0.002686530416392106,0.004519226322641656
street,0.003451748590970486,0.003472939354198734
budget,0.00032340331306979567,0.0025452533401786248
best,0.007575325521363182,0.006269648508376595
navy,0.0014816792588127315,0.0015901407835322958
solid,0.004609244631002694,0.002531643307181623
cut,0.007794580239918924,0.010846114801896534
upside,0.0040739819028187,0.003005998084611447
upbeat,0.004370851268441714,0.003185345319895825
low,0.02420595097562515,0.024333067672080298
plunge,0.0016516407403484373,0.004208532831915249
resume,0.004621520881271187,0.007155875520759127
fitch,0.00034582610867789636,0.005755193803246093
design,0.0009357432622566136,0.0014724300935379697
weakness,0.0018320478035387206,0.002420992280259105
call,0.03370457632203785,0.024794412039750927
volume,0.02210585489300097,0.008146994913363743
repurchase,0.0074535779735130404,0.006800070074013434
community,0.004388333992892683,0.0004447402494422923
insurance,0.003971080158215754,0.007826567835744301
special,0.0016056142854563896,0.0021114616657787796
declare,0.009530453041879158,0.009255884366206876
heavy,0.006672307162518245,0.0034670684728181442
currently,0.003811819823366097,0.0015389989798300747
common,0.003561467388021077,0.005536865908876924
base,0.003985847217836325,0.002673976413438999
underweight,0.0012762044658179768,0.003527146606783458
surge,0.007265010621445745,0.0054230204581396995
jack,0.0,0.0025774576117238183
worst,0.0007655352911395811,0.0022635204187283365
midday,0.014052389837096396,0.0
bac,0.00497677783592331,0.004576461987724523
hit,0.02202246975268439,0.0143099091046896
chief,0.0039067857956847285,0.00557566985628548
three,0.00402449961542711,0.005431769669527427
disappoint,0.001953229053199842,0.00360577822736451
chairman,0.0023427408867884255,0.0027567152040120844
loss,0.005390033341867285,0.005364989851609902
lynch,0.0016232542206839385,0.0029706032553061716
decrease,0.0014177036772324884,0.001621075083621951
broker,0.0018369044034853585,0.004221694301803567
discuss,0.0018070256637933001,0.004312560189616526
win,0.006764532252431267,0.008513018583253743
order,0.0065361028647038235,0.008647464434237322
narrow,0.0032273705081340017,0.0005533198131565432
index,0.005907941269635692,0.008009966980259086
wall,0.002614866116072107,0.0020937552456008275
negative,0.002351052187923533,0.004221540291746585
