date,no. sentiment words,alpha plus,alpha_minus,kappa,lambda,normalised error
2010-1-1,100,0.05287813107749271,0.04873082667925798,92,5,20402.20290037208
2010-5-1,100,0.04049535734770087,0.03841867235551109,94,5,20714.65950140587
2010-9-1,25,0.11156865194559278,0.10433735043060066,92,5,20426.813190961868
2011-1-1,25,0.10232332719371821,0.10637573619148925,92,1,19963.670921577483
2011-5-1,50,0.10023536402680845,0.09213553663070272,90,5,19075.084657950407
2011-9-1,100,0.0424615138966556,0.04039022053584314,94,5,19255.784510580506
2012-1-1,100,0.07543035996726738,0.07438271607883312,88,5,20474.704530305262
2012-5-1,100,0.05096362677015251,0.048883478738717706,92,10,21839.80965530215
2012-9-1,100,0.053618387062439404,0.04731034152568184,92,10,22243.55428763891
2013-1-1,50,0.05355278733985011,0.06720349783824328,94,5,21546.49765936534
2013-5-1,100,0.08404340317750525,0.09130641332864768,86,5,22095.564958430637
2013-9-1,100,0.06884610672515495,0.07603898354718605,88,10,23415.734624783865
2014-1-1,100,0.03947830348317978,0.037453775099426975,94,5,24819.108035528938
2014-5-1,100,0.0823249252078967,0.09537643774085593,86,5,24060.977291720264
2014-9-1,100,0.03917149527452745,0.041180289903990384,94,5,23536.728971055014
2015-1-1,100,0.07780122644645976,0.08977064589976125,86,5,22801.463884118093
2015-5-1,100,0.047106587290376235,0.057129265437264785,92,5,23642.32299791376
2015-9-1,100,0.060340341071769416,0.07341408163731947,90,5,26361.232811860806
2016-1-1,100,0.04775706498660955,0.05182149604929973,92,5,29950.541221261563
