word,O+ value,O- value
clinic,0.002732705498933601,0.005805841427912223
expansion,0.0018409710396278813,0.001675701033464372
rais,0.02787818801809316,0.01752326913388216
dividend,0.01093912118789557,0.008347760928028972
overweight,0.007814572648321005,0.0038446126273129
gainer,0.04048701625167041,0.004427736547088197
thing,0.001656889445791819,0.0015300909628430215
cautious,0.001056471943205822,0.0017037936488197925
upgrade,0.06266034835966881,0.0386542381570407
outperform,0.014227161436839846,0.009868990026690552
spike,0.01788794128000732,0.014218715252834241
high,0.01853619272656873,0.012039531354570258
volume,0.011224102779317811,0.00796499630186753
downgrade,0.03935102996689056,0.07764163111633982
fundament,0.0010553896369786236,0.000905393037227372
buy,0.046757773245546905,0.0354959131982662
pressure,0.001279422897607418,0.0023495786471385218
favorite,0.0011224436824074373,0.0014128426662209865
idea,0.003492838335785892,0.00288172798734904
convict,0.0006562105412711113,0.0007901132162674354
guidance,0.009196340936091391,0.011192824335196137
miss,0.004059549748907377,0.00694535576203924
mover,0.009091450909770636,0.006280450277207331
lower,0.017239682736541674,0.028604791811572154
view,0.005036667977831486,0.0071949263320523205
call,0.05886912536453106,0.039500116300077034
add,0.0029706429382747603,0.0031434020204418613
help,0.001919904887798359,0.0012337986553697933
applied,0.0,0.003969787772868019
commercial,0.0014407823095971988,0.0030785021949927332
test,0.0027780849898899223,0.003014003583845966
eu,0.002091327886492859,0.0009323665899016351
upside,0.004786868806982958,0.003195188443038649
offer,0.01537692863375249,0.023381482861771174
concern,0.002933397087657094,0.004187544957139432
impact,0.0027180422240492682,0.003914407598539006
initiate,0.017036282124412987,0.015117408049000827
coverage,0.017097931452566724,0.015684160315047355
hold,0.02402739348133155,0.027185618192709864
loser,0.0012387733242158843,0.04111387214886897
sec,0.0008753503628081815,0.0015121699836556557
contract,0.010396027779442684,0.007388569818721199
respond,0.0015275655976599199,0.0017513188295150898
put,0.026014401095778475,0.027500978468738835
mar,0.002604823495501685,0.0026283594783959746
short,0.004745566839285511,0.005131793178008252
yesterday,0.003930169993378062,0.00433538512629764
strong,0.007552767443768255,0.005909233884036886
drop,0.009624559913233048,0.010967808772496418
warn,0.00129827115677841,0.0023008117687697504
disappoint,0.001198499835193142,0.002646595578599805
cut,0.004753132079696343,0.008507154011037256
low,0.0065759635652285426,0.015314587622522408
rebound,0.001312118090151489,0.0013802837502419614
rumor,0.0029826349174653186,0.0028130211360169596
sell,0.011459693840440991,0.019654853506468402
chatter,0.013000127381474878,0.012883473089204055
money,0.006009694392594015,0.004380408853727553
posit,0.0148583573200227,0.010244547673088788
affect,0.0007995386990789842,0.0015402000211483739
due,0.002018964284347514,0.002859141169201007
received,0.003974622455858952,0.0025372141601046256
negative,0.0028764895042026188,0.003794790561698615
current,0.0023776364987872,0.0028959675154801336
increase,0.00794003275216443,0.006119207173141475
prelim,0.0017277557271968495,0.002849902136218077
index,0.004229228117504663,0.002925223316328101
weak,0.003658943816029899,0.0064596341539210865
worst,0.0019325613847228304,0.005522803855592437
perform,0.014409528928056222,0.020124925004005968
boost,0.002184930719517449,0.0014033210238026444
plunge,0.0024137870368817634,0.004480265198081844
fall,0.0045836655910516085,0.008707338057437617
three,0.004992300007114395,0.004172479095561059
plummet,0.002644319817229553,0.003213064564928675
auto,0.0013917693769122852,0.008028481728987949
neutral,0.013138820701661481,0.020722080774336585
pick,0.010301938916876863,0.007801258624769639
pan,0.0017756751520287483,0.001551418370352302
slide,0.007048550591549596,0.00793478148798834
need,0.0023248420096289506,0.00271318605885934
loss,0.0026523173905727906,0.004507182231409955
five,0.0027980178072749885,0.0005779229103028639
four,0.0018085825522186879,0.001978441687687819
back,0.004054040311180666,0.0031854679592224996
unusual,0.0016033880936408326,0.0009111690329292727
activity,0.003153066574725089,0.002138221708330923
cite,0.0013561864352678132,0.0015941615491919896
recovery,0.001371310137302789,0.0009800902901821284
highest,0.0011539933755787064,0.0009018660753937232
sold,0.0018898605469157383,0.0024537225074597615
approach,0.0019797639862662347,0.0014315896697476359
unconfirm,0.0010308331636299354,0.0008688627352943964
despite,0.001623042562998797,0.0026598371265826393
f,0.003956164666826765,0.0031851616689391312
stake,0.013274792002390888,0.011020698243485073
