DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-09,0,0,0,0,0,0,282,155
2019-01-10,9999.999999999998,9945.785066231025,10000.0,10003.523748444233,35,50,219,104
2019-01-11,10000.000000000002,10078.22270761963,10000.0,10097.858622292571,31,50,180,75
2019-01-14,9999.999999999995,9969.319201049113,9999.999999999989,9973.71364184432,37,38,266,101
2019-01-15,10000.0,9943.708879240265,10000.0,9976.575593480246,50,48,293,128
2019-01-16,10000.000000000007,10094.952353946348,10000.000000000007,10112.252812456803,49,49,248,103
2019-01-17,10000.0,9984.915714236693,10000.0,10024.334117950235,48,50,221,93
2019-01-18,10000.000000000002,10153.288266998188,10000.0,10133.921929133397,26,50,245,84
2019-01-22,9999.999999999998,9960.086151417825,10000.0,10078.123159872768,34,50,269,113
2019-01-23,10000.0,9954.474074202197,10000.000000000007,9914.761666648516,50,49,187,79
2019-01-24,10000.0,9909.23869652805,10000.0,9929.918069963484,30,48,218,86
2019-01-25,9999.999999999998,10146.113330377264,10000.0,10203.738612257524,34,50,208,88
2019-01-28,10000.0,9873.924179202184,10000.000000000007,9956.971481952936,30,49,182,68
2019-01-29,9999.999999999995,10041.239222866212,10000.000000000002,10132.481976796395,37,31,265,122
2019-01-30,10000.000000000011,10041.98859384583,10000.0,10015.90657861185,42,50,263,114
2019-01-31,10000.000000000002,10067.123955008234,10000.0,10041.095441275553,41,50,293,136
2019-02-01,10000.0,10082.3368886684,10000.0,10094.129797396297,50,50,192,80
2019-02-04,9999.999999999998,10023.18191379592,9999.999999999998,10014.635971833848,46,34,274,150
2019-02-05,10000.0,10084.09799439743,10000.0,10085.76942404396,50,50,256,97
2019-02-06,10000.000000000004,10046.167133846408,10000.0,9995.607542223677,29,50,251,120
2019-02-07,10000.000000000002,9933.020127303247,10000.0,9958.769375830274,39,50,239,106
2019-02-08,10000.000000000007,9832.31271606327,10000.000000000007,9895.914699911467,49,49,222,79
2019-02-11,9999.999999999998,10128.610723591544,10000.00000000001,10037.113657267386,34,45,195,81
2019-02-12,10000.000000000002,10108.561167559168,10000.000000000011,9991.079506878004,39,42,245,99
2019-02-13,9999.999999999993,10070.511440870498,10000.0,10156.256259012524,36,50,249,118
2019-02-14,10000.000000000011,9965.93557541129,10000.000000000007,9988.634850873306,42,49,279,120
