DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-02,0,0,0,0,0,0,219,104
2019-01-03,10000.000000000002,10212.291039994403,10000.000000000005,9918.144037511873,31,50,180,75
2019-01-04,9999.999999999996,10079.59380706171,10000.000000000002,9895.816322300523,37,38,266,101
2019-01-07,10000.000000000004,10441.4737041526,10000.0,10167.214971135478,50,48,293,128
2019-01-08,10000.000000000002,10428.143000576134,9999.999999999998,10125.372516671941,50,50,248,103
2019-01-09,10000.0,10152.060221150368,10000.000000000002,9916.302523687911,48,50,221,93
2019-01-10,10000.000000000004,9990.274574577757,9999.999999999996,9817.769016965192,26,50,245,84
2019-01-11,10000.000000000002,10216.817658935217,9999.999999999995,9877.516779350392,34,50,269,113
2019-01-14,10000.000000000002,10065.12876289652,10000.000000000002,9921.641381842253,50,50,187,79
2019-01-15,10000.000000000002,10205.137206289268,10000.000000000004,9925.332435842769,31,48,218,86
2019-01-16,10000.0,10147.121022933408,10000.000000000002,10032.467042217706,34,50,208,88
2019-01-17,10000.0,10089.415940261757,10000.000000000002,9912.90425451705,30,50,182,68
2019-01-18,10000.000000000002,10264.03374278091,10000.0,10078.54848799139,37,31,265,122
2019-01-22,10000.000000000002,10112.79889543894,9999.999999999996,9913.44535152746,42,50,263,114
2019-01-23,10000.000000000002,10105.011095496871,10000.000000000004,9837.722428132953,41,50,293,136
2019-01-24,10000.000000000002,10098.39154117174,9999.999999999998,9829.90985232138,50,50,192,80
2019-01-25,10000.0,10304.743355222216,10000.0,9885.087183719193,46,34,274,150
2019-01-28,10000.0,10089.763066215233,10000.000000000002,9830.756947323482,50,50,256,97
2019-01-29,9999.999999999998,10153.689614732997,10000.0,9943.216593830244,29,50,251,120
2019-01-30,9999.999999999998,10263.717524712649,9999.999999999998,9925.69315726185,39,50,239,106
2019-01-31,9999.999999999996,10275.294314073388,9999.999999999996,9921.007446446052,49,49,222,79
2019-02-01,10000.000000000002,10228.620987503862,10000.0,10011.281314631691,34,45,195,81
2019-02-04,10000.0,10058.918792259392,9999.999999999998,9987.557691108608,39,42,245,99
2019-02-05,9999.999999999998,10212.08549460121,10000.0,10017.484560978284,36,50,249,118
2019-02-06,9999.999999999998,10208.445287214725,9999.999999999996,9908.934576668022,42,50,279,120
2019-02-07,9999.999999999996,10203.555282215857,10000.0,9804.957226926,37,50,185,84
2019-02-08,10000.0,10224.379667371073,10000.0,9745.70698404096,26,50,233,84
2019-02-11,10000.0,10363.189318653336,10000.000000000004,10083.074976865324,35,49,214,91
2019-02-12,10000.0,10224.65150447079,9999.999999999998,9984.359495514038,30,50,272,119
2019-02-13,10000.000000000004,10212.939815200367,10000.0,10038.600920510986,44,50,392,144
2019-02-14,10000.0,10158.823557396096,9999.999999999998,9914.29216703336,32,50,276,95
2019-02-15,9999.999999999998,10327.345847671639,10000.000000000002,10067.32257975223,35,50,266,100
2019-02-19,10000.0,10154.337427615512,10000.0,9950.218925415516,32,50,287,127
2019-02-20,10000.000000000002,10215.138432390355,10000.0,9994.235869683735,33,50,311,124
2019-02-21,10000.0,10074.65908479692,10000.0,9981.794500381468,43,49,237,71
2019-02-22,10000.000000000002,10334.577801925332,10000.0,9841.950910261112,22,49,236,109
2019-02-25,10000.000000000004,10275.543183296735,10000.000000000005,10124.204371769156,50,50,271,136
2019-02-26,10000.0,10136.460415964828,10000.000000000002,9786.585228070755,36,50,253,115
2019-02-27,9999.999999999998,10044.844392012476,10000.000000000004,9882.538444519818,50,50,271,106
2019-02-28,10000.0,10126.413211939242,10000.0,9914.203549843554,30,50,216,97
2019-03-01,10000.000000000005,10321.383002493698,10000.000000000004,10046.722704827489,43,50,228,95
2019-03-04,9999.999999999996,10120.208161701776,9999.999999999996,10003.160237319602,34,50,218,78
2019-03-05,10000.000000000004,9869.14888324103,10000.000000000004,9846.609464434237,22,50,242,115
2019-03-06,10000.000000000005,10114.593260845915,9999.999999999996,10037.563084301402,39,50,228,102
2019-03-07,9999.999999999996,10161.738031856525,9999.999999999998,9848.685349955598,17,50,181,81
2019-03-08,9999.999999999998,10076.407542917039,9999.999999999998,9650.224061494,22,50,194,63
2019-03-11,10000.0,10213.420391601287,10000.0,13552.420246741378,35,28,194,65
2019-03-12,9999.999999999995,10265.236722320777,10000.0,9973.621276466374,21,44,171,71
2019-03-13,9999.999999999995,10148.861904673548,10000.000000000002,9845.060501883283,28,43,169,69
2019-03-14,10000.000000000004,10104.263302270527,10000.0,10009.657105821734,16,50,188,65
2019-03-15,9999.999999999998,10161.142602764294,10000.0,9893.61942582824,35,30,208,86
2019-03-18,10000.000000000002,10116.847482127938,10000.000000000004,9876.105534358523,36,50,184,65
2019-03-19,9999.999999999998,10072.373869892992,9999.999999999998,10022.895768111375,25,40,224,98
2019-03-20,10000.0,10036.853774950254,9999.999999999998,9860.160864642761,41,50,222,107
2019-03-21,10000.000000000002,9968.640257962197,10000.000000000004,9608.730560124315,50,47,209,110
2019-03-22,10000.0,10267.15657115331,10000.0,9984.307107142331,18,50,172,51
2019-03-25,10000.000000000002,9720.795125725288,9999.999999999998,9878.626711041517,21,30,206,110
2019-03-26,10000.000000000004,10082.313884238376,9999.999999999998,10059.717323706009,31,50,221,103
2019-03-27,9999.999999999996,10105.712572055794,10000.0,10290.644909963412,40,50,212,101
2019-03-28,9999.999999999998,10343.332721310868,9999.999999999996,9886.967075513148,35,50,228,79
2019-03-29,9999.999999999998,10212.399827021021,10000.000000000004,9955.411072950796,43,36,300,179
2019-04-01,10000.000000000002,10165.346581989352,10000.000000000002,10114.110182891414,50,50,213,87
2019-04-02,9999.999999999996,10175.957117250759,10000.000000000002,9972.862774053081,48,39,200,107
2019-04-03,9999.999999999998,10078.254199892996,10000.0,10002.420713282476,50,48,206,93
2019-04-04,10000.000000000002,9896.721649108968,10000.000000000002,9905.135917340238,46,47,177,74
2019-04-05,10000.000000000002,10137.15300243688,9999.999999999998,9970.031435750652,43,31,191,75
2019-04-08,10000.0,10103.112631683109,9999.999999999996,9940.05490633724,23,50,210,99
2019-04-09,10000.000000000002,9971.810277977114,9999.999999999998,9860.004671469656,38,50,190,89
2019-04-10,9999.999999999996,10058.31249411783,9999.999999999996,9871.033563383427,38,50,205,85
2019-04-11,9999.999999999998,10159.249470926019,10000.0,9899.872400701099,26,50,210,108
2019-04-12,9999.999999999998,10151.549190222959,10000.000000000002,9866.236340589187,50,50,196,95
2019-04-15,9999.999999999998,10002.538400575815,9999.999999999998,9954.270171102778,47,48,259,147
2019-04-16,10000.0,10033.166338151965,10000.0,10013.611020190203,50,50,290,182
2019-04-17,9999.999999999996,10146.128942543932,10000.000000000002,9873.315046549773,46,50,267,106
2019-04-18,9999.999999999996,10064.528424400776,10000.000000000002,9672.476743129127,38,50,228,105
2019-04-22,10000.000000000004,10080.242500563707,10000.000000000002,9916.607291686589,42,50,310,202
2019-04-23,10000.000000000002,10020.825842464039,10000.000000000002,9863.25591866514,50,49,339,210
2019-04-24,9999.999999999998,10157.898573692593,10000.000000000002,10057.363931473743,50,50,366,223
2019-04-25,9999.999999999998,10061.643067591755,10000.000000000002,9861.434457661757,50,50,343,222
2019-04-26,10000.000000000002,10124.798092568873,9999.999999999998,9962.13649010086,50,50,216,95
2019-04-29,10000.0,10147.260378265355,10000.0,10077.901868882811,36,50,344,187
2019-04-30,10000.000000000002,10192.083927045549,10000.0,9991.92934820122,50,50,389,201
2019-05-01,9999.999999999998,10217.93042262639,10000.000000000002,9984.814989150798,50,50,383,201
2019-05-02,9999.999999999998,10117.05199755265,10000.0,9778.222060258833,50,50,269,134
2019-05-03,9999.999999999998,10168.405018970905,9999.999999999993,9816.053570005155,50,50,384,226
2019-05-06,10000.0,9957.217979642946,10000.000000000002,9835.185117811792,45,49,408,238
2019-05-07,10000.0,10303.836210160307,9999.999999999996,9977.284931473243,35,50,374,192
2019-05-08,9999.999999999996,9995.466183288223,10000.000000000004,9785.510434168893,50,50,442,266
2019-05-09,10000.000000000004,10044.642562917408,10000.000000000002,9905.963885195015,48,50,271,148
2019-05-10,10000.0,10077.315048761897,9999.999999999996,9974.32067240818,37,50,276,161
2019-05-13,9999.999999999996,9849.246953742231,9999.999999999998,9819.75796284548,18,50,304,175
2019-05-14,9999.999999999996,9940.77496758859,10000.0,9851.139658920976,50,40,299,169
2019-05-15,10000.0,9960.71990962446,10000.000000000004,9984.950154688935,50,50,262,157
2019-05-16,9999.999999999996,10225.805752693504,9999.999999999998,10035.694675835479,50,50,258,125
2019-05-17,9999.999999999998,10040.80751829065,9999.999999999996,9798.243597824994,37,50,253,124
2019-05-20,9999.999999999995,9949.66692409806,10000.0,9739.175920993368,29,50,267,141
2019-05-21,9999.999999999996,10032.618584257485,9999.999999999998,9999.95358273906,50,41,242,157
2019-05-22,10000.000000000004,10075.803973165066,10000.000000000004,10016.699488901957,37,50,317,221
2019-05-23,10000.000000000002,10037.023762978133,10000.000000000005,9840.894475730263,30,50,177,61
2019-05-24,9999.999999999998,10337.309234705357,10000.000000000002,9890.914138494565,32,29,180,67
2019-05-28,10000.0,10034.146078722759,10000.0,9860.752508813925,29,38,223,112
2019-05-29,10000.0,9961.535621740648,10000.0,9815.771948532012,27,50,241,107
2019-05-30,10000.000000000002,10266.675659651415,10000.000000000002,9913.564853127491,35,50,283,170
2019-05-31,9999.999999999998,10174.320639695847,10000.000000000002,9675.780489943641,33,50,301,122
2019-06-03,10000.000000000004,10265.664529540714,9999.999999999996,9886.753854159268,50,50,374,260
2019-06-04,9999.999999999993,10165.881434093175,9999.999999999998,10020.990261514615,50,47,260,130
2019-06-05,10000.0,10286.586730978712,9999.999999999998,10110.2331849148,33,50,205,74
2019-06-06,10000.0,10127.351441703204,10000.000000000004,9877.952140874015,27,47,215,85
2019-06-07,9999.999999999995,10149.172340927651,10000.000000000004,10106.728673349855,50,28,208,95
2019-06-10,9999.999999999996,10245.395431048766,10000.000000000005,10037.122226998652,50,36,245,109
2019-06-11,10000.0,10203.409003562052,10000.000000000005,9980.497335366841,50,49,245,129
2019-06-12,9999.999999999998,9962.773870321334,10000.0,9814.918665260398,20,50,190,78
2019-06-13,10000.000000000002,10223.973870036629,9999.999999999998,10018.083873521904,50,21,248,128
2019-06-14,10000.000000000002,10023.961919614507,10000.0,9913.597841840497,48,50,212,98
2019-06-17,9999.999999999993,9977.358808615614,10000.000000000002,9794.857862739576,50,34,243,118
2019-06-18,9999.999999999995,10051.716917566231,10000.0,9988.084199386443,50,33,204,70
2019-06-19,10000.0,10164.436882172407,10000.000000000002,9970.36114437261,21,49,205,125
2019-06-20,10000.000000000002,10214.195678692793,9999.999999999998,10080.759125706481,50,50,140,45
2019-06-21,10000.0,10050.951345227853,10000.0,9902.131171736644,29,16,184,76
2019-06-24,9999.999999999998,10052.636504811217,10000.0,10030.63906880733,25,50,216,96
2019-06-25,10000.0,9947.579754103563,9999.999999999998,9899.162624485905,38,50,266,149
2019-06-26,9999.999999999996,9997.782297072492,10000.000000000004,9899.386374990798,50,37,220,83
2019-06-27,10000.0,10040.467863695778,10000.0,9889.215530044903,50,31,191,68
2019-06-28,10000.0,10142.95682462378,10000.000000000002,10041.387770252379,33,35,271,124
2019-07-01,9999.999999999996,10320.006650136413,9999.999999999998,10223.966487321444,50,50,247,122
2019-07-02,10000.0,10013.219672786103,10000.0,9780.807899900661,46,50,129,34
2019-07-03,10000.000000000002,10120.545033386994,10000.000000000002,9766.357556743687,20,14,118,38
2019-07-05,10000.0,10140.468933457392,10000.0,9905.29294447133,19,19,233,128
2019-07-08,9999.999999999998,10027.716753742608,10000.000000000004,9935.428668851904,26,50,270,145
2019-07-09,9999.999999999995,9993.991292636629,10000.0,9917.81122214687,36,50,260,155
2019-07-10,10000.000000000005,10197.598509928814,10000.000000000004,10074.125030308669,50,49,274,145
2019-07-11,9999.999999999998,10190.133212174042,10000.000000000002,9876.352912179884,50,50,205,100
2019-07-12,10000.000000000004,10124.843393387517,9999.999999999996,9991.792741793024,19,50,210,114
2019-07-15,10000.000000000002,10122.738059490435,10000.000000000002,10080.62187709903,40,50,200,91
2019-07-16,10000.000000000002,10013.555292848969,10000.000000000004,9755.952917106499,47,44,265,139
2019-07-17,10000.0,10073.676985543552,10000.000000000005,9947.858259977587,36,50,249,100
2019-07-18,10000.000000000002,10031.428135327837,9999.999999999996,9714.12791512483,39,50,180,93
2019-07-19,10000.000000000004,10175.637008154017,10000.000000000002,10090.902821154832,50,35,213,99
2019-07-22,10000.000000000005,9979.368264768187,10000.000000000002,9834.290073411395,50,49,371,192
2019-07-23,10000.0,10060.046294707918,10000.000000000004,9987.173076676689,50,50,339,196
2019-07-24,10000.0,10120.23438196633,10000.000000000004,9835.361243898982,50,50,407,229
2019-07-25,10000.000000000004,10182.399712183513,10000.000000000002,9983.732864738102,50,50,406,155
2019-07-26,9999.999999999998,10247.35314710308,9999.999999999998,9680.149662909167,50,50,401,159
2019-07-29,9999.999999999996,10135.879071383728,10000.0,10000.167040063703,50,50,484,242
2019-07-30,10000.0,10062.455258953836,10000.000000000002,9826.657881857414,49,50,524,232
2019-07-31,9999.999999999996,10414.138460677246,9999.999999999998,10025.800262864437,50,50,597,345
2019-08-01,10000.000000000002,10090.623500104215,10000.000000000002,9860.152191188738,50,49,461,264
2019-08-02,10000.000000000002,10175.88682587063,9999.999999999998,9743.11981274435,50,50,586,448
2019-08-05,9999.999999999998,9910.746167737112,10000.0,9703.774991812938,50,50,436,257
2019-08-06,9999.999999999998,9998.359201998228,10000.0,9795.523419788959,50,50,556,357
2019-08-07,9999.999999999995,10211.167647005019,10000.00000000001,9844.861009041268,41,50,478,277
2019-08-08,10000.000000000004,10194.967144087648,10000.000000000002,10053.575208080945,50,50,372,168
2019-08-09,9999.999999999998,10195.999996701474,10000.000000000004,10028.158987942486,50,50,382,231
2019-08-12,9999.999999999996,10021.144719314692,10000.000000000002,9880.507059609996,25,50,510,365
2019-08-13,10000.0,9915.260203896161,9999.999999999998,9879.246986612272,50,50,476,354
2019-08-14,10000.000000000005,10013.127749250585,10000.0,9988.166036876793,45,50,335,181
2019-08-15,9999.999999999998,10025.993502830479,10000.000000000002,9763.63767784819,35,50,349,243
2019-08-16,9999.999999999993,10034.74678786625,10000.0,9898.95539880749,50,50,344,171
2019-08-19,10000.0,10304.518134257814,9999.999999999996,10206.048688670813,50,50,239,102
2019-08-20,10000.0,10263.139252872323,9999.999999999998,9937.801000002959,29,50,240,102
2019-08-21,10000.000000000002,10120.368135436014,10000.0,9836.772378741389,50,46,285,131
2019-08-22,10000.0,10149.536258618993,9999.999999999998,9878.159159971841,50,50,386,259
2019-08-23,10000.0,10067.513949896742,9999.999999999998,9849.82036567568,36,50,285,154
2019-08-26,9999.999999999996,9903.24846286535,10000.000000000002,9821.108242157652,50,50,283,144
2019-08-27,10000.000000000004,10226.08638379426,10000.000000000005,9964.231246547424,49,50,279,155
2019-08-28,10000.0,9942.6950777538,9999.999999999996,9744.453799546252,50,50,296,158
2019-08-29,9999.999999999996,10338.63323897678,9999.999999999998,10187.820773546975,50,50,190,82
2019-08-30,10000.000000000002,10357.691023014531,10000.000000000005,9647.56064649067,24,50,331,211
2019-09-03,9999.999999999998,9992.419981973166,9999.999999999993,9865.991255011422,50,50,400,192
2019-09-04,10000.0,10097.182774537447,9999.999999999996,10090.945698861824,50,50,452,289
2019-09-05,10000.000000000004,10187.28477341532,9999.999999999996,10073.333060302512,50,50,294,145
2019-09-06,9999.999999999996,10055.213342726962,9999.999999999995,9990.78476990494,50,50,344,187
2019-09-09,10000.000000000004,10076.197389707468,9999.999999999995,9965.838390519437,50,50,345,198
2019-09-10,10000.0,10010.964855821972,10000.0,9748.928619981862,50,50,288,165
2019-09-11,10000.0,10098.149157783866,10000.000000000002,10060.116085061178,50,50,329,158
2019-09-12,10000.0,10107.083204220009,10000.000000000004,9961.992991803902,50,50,290,119
2019-09-13,9999.999999999998,9965.492224600008,10000.000000000002,9949.176726778907,50,50,337,192
2019-09-16,9999.99999999999,10068.976072125646,10000.0,9921.113580815456,50,50,300,181
2019-09-17,9999.999999999998,10100.686824416614,10000.0,10064.937114779088,50,50,228,131
2019-09-18,10000.0,10100.700181328088,10000.0,9844.864302315791,36,50,215,126
2019-09-19,10000.000000000004,10029.880454617081,9999.999999999996,9915.927982796722,50,50,191,101
2019-09-20,10000.000000000004,10062.71218454369,10000.0,9771.920808757637,50,46,288,149
2019-09-23,10000.000000000004,10037.241001082015,9999.999999999996,9866.946324873206,50,50,312,190
2019-09-24,10000.000000000002,10164.91972409446,10000.000000000005,9996.387141660305,33,50,265,144
