DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-03,0,0,0,0,0,0,333,230
2019-01-04,10000.0,9952.35595847117,9999.999999999998,10055.268584601938,50,49,198,152
2019-01-07,9999.999999999996,10286.405990005993,10000.0,10248.728199426598,50,50,227,133
2019-01-08,10000.000000000004,10234.692464957976,10000.000000000002,10138.789798126725,50,50,268,188
2019-01-09,10000.000000000005,10105.205777178884,10000.0,10039.468088736288,50,50,285,172
2019-01-10,9999.999999999998,9935.766740451112,9999.999999999998,9929.33848941504,50,50,244,159
2019-01-11,9999.999999999996,10032.401284327998,10000.000000000002,10135.706793697718,50,50,226,152
2019-01-14,9999.999999999998,10024.763107791918,9999.999999999998,9951.42673729026,50,50,263,149
2019-01-15,10000.0,9887.455935044709,9999.999999999998,9992.151967145612,50,50,293,173
2019-01-16,9999.999999999998,10113.610758772673,10000.0,10158.843435331553,50,50,190,130
2019-01-17,10000.0,10005.221807848056,9999.999999999996,9957.182528035692,50,50,250,162
2019-01-18,10000.000000000002,10193.158182268706,10000.0,10239.83304902396,50,50,200,144
2019-01-22,10000.000000000004,9963.65604274783,10000.0,9987.383059748336,50,49,242,156
2019-01-23,10000.0,9905.34495607343,9999.999999999995,9896.012079296777,50,50,276,194
2019-01-24,10000.0,9979.925561095959,10000.000000000005,9981.298393509624,50,50,270,188
2019-01-25,9999.999999999998,10189.01005624293,10000.0,10105.564650309418,50,50,275,190
2019-01-28,10000.0,9983.203660870156,10000.0,9911.504241531089,50,50,223,150
2019-01-29,9999.999999999998,10087.313363053076,9999.999999999996,10173.067545252306,50,46,304,219
2019-01-30,9999.999999999998,10029.950080463244,10000.0,9995.683103503367,50,50,273,175
2019-01-31,9999.999999999995,10185.55930838053,9999.999999999998,10006.59151324554,50,50,267,199
2019-02-01,9999.999999999995,10178.834447319732,10000.000000000005,10123.52875804976,50,50,218,165
2019-02-04,10000.000000000004,10062.960675419952,9999.999999999996,9997.216259969973,50,49,238,149
2019-02-05,9999.999999999998,10061.915526006598,10000.0,10081.292741681315,50,50,222,149
2019-02-06,10000.000000000005,10007.780598648047,9999.999999999998,10124.258284205898,50,50,265,170
2019-02-07,10000.000000000002,9911.246536855811,10000.000000000002,10075.210932373497,50,50,285,208
2019-02-08,10000.000000000002,9941.009135900702,10000.0,9972.643372074737,50,50,247,185
2019-02-11,9999.999999999996,10006.03628291959,10000.0,10175.752516628898,50,50,220,150
2019-02-12,10000.000000000002,10047.673788662412,9999.999999999995,10130.198572294024,50,50,264,161
2019-02-13,10000.000000000002,10006.577779533754,10000.0,10059.733082162715,50,50,256,158
2019-02-14,10000.0,9972.714415880448,9999.999999999998,9886.91471990739,50,50,303,229
2019-02-15,9999.999999999996,10068.907442140355,10000.000000000002,10149.28273387819,50,50,370,202
2019-02-19,9999.999999999998,10012.082844852841,10000.0,10012.911146121714,49,50,319,195
2019-02-20,9999.999999999998,10010.301445622117,9999.999999999996,10023.579733061657,50,50,294,198
2019-02-21,9999.999999999998,9876.718255112448,9999.999999999998,10032.279424603896,50,50,337,233
2019-02-22,10000.000000000002,10093.378192478398,9999.999999999996,10018.685802192851,50,50,249,173
2019-02-25,10000.0,10092.858842960879,9999.999999999998,10138.645796852468,50,50,260,170
2019-02-26,9999.999999999998,9926.009390404248,10000.000000000004,9935.490746368818,50,50,292,198
2019-02-27,10000.000000000002,9971.00911713824,10000.0,9940.512154094651,50,50,270,204
2019-02-28,9999.999999999998,10103.279430362978,9999.999999999998,9999.321257452822,50,50,286,213
2019-03-01,10000.0,10120.572248934111,9999.999999999998,10012.476644028,50,50,258,190
2019-03-04,10000.0,10045.211440066825,9999.999999999998,10024.439036860493,50,50,228,149
2019-03-05,10000.0,9984.820725223848,10000.0,9889.416135274527,50,50,226,165
2019-03-06,10000.000000000002,9985.075717015894,10000.000000000004,9982.353021541534,50,50,239,146
2019-03-07,9999.999999999998,9838.557555461135,9999.999999999998,9919.938311394479,49,50,249,175
2019-03-08,10000.000000000004,9832.60592391444,10000.000000000002,9858.389815203405,50,50,206,142
2019-03-11,10000.0,10118.554847462667,9999.999999999998,10066.943571562419,50,50,225,150
2019-03-12,10000.0,10034.322137390247,9999.999999999996,10207.642509281177,50,50,197,114
2019-03-13,10000.000000000002,9739.884229548563,10000.000000000004,9988.171728821513,50,50,193,127
2019-03-14,9999.999999999998,9615.174815868651,10000.0,10042.502311179833,50,50,175,111
2019-03-15,10000.000000000004,10000.477362265772,10000.0,10044.53254768805,50,50,172,125
2019-03-18,9999.999999999998,9991.343931970257,10000.000000000002,10053.81706573803,50,50,194,118
2019-03-19,10000.000000000002,10100.012650205317,9999.999999999998,10062.894908422793,50,50,213,122
