DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-03,0,0,0,0,0,0,333,226
2019-01-04,10000.0,10047.681649772203,10000.000000000007,10099.12339687846,50,49,198,145
2019-01-07,10000.0,10342.544389604247,10000.0,10264.256558002548,50,50,227,127
2019-01-08,10000.0,10288.978688515625,10000.0,10167.75768784258,50,50,268,178
2019-01-09,10000.0,10147.312934687978,10000.0,10030.963756914189,50,50,285,164
2019-01-10,10000.0,9950.741629499249,10000.0,9973.699981176078,50,50,244,155
2019-01-11,10000.0,9979.718730934335,10000.0,10136.902159584717,50,50,226,147
2019-01-14,10000.0,10074.985791038807,10000.0,9920.840076203074,50,50,263,143
2019-01-15,10000.0,9966.373264171036,10000.0,9923.297701434374,50,50,293,167
2019-01-16,10000.0,10077.362549854122,10000.0,10071.43442441054,50,50,190,121
2019-01-17,10000.0,9969.051974095713,10000.0,10083.28484200166,50,50,250,148
2019-01-18,10000.0,10147.9717274595,10000.0,10203.8734796269,50,50,200,138
2019-01-22,10000.0,9975.488989543634,10000.000000000007,10024.267744292953,50,49,242,142
2019-01-23,10000.0,9869.348786384948,10000.0,9895.194272246545,50,50,276,178
2019-01-24,10000.0,9993.011087869103,10000.0,9900.015649409532,50,50,270,163
2019-01-25,10000.0,10133.554093803585,10000.0,10086.3953123108,50,50,275,174
2019-01-28,10000.0,10042.727802298652,10000.0,10018.003710760418,50,50,223,144
2019-01-29,10000.0,10084.20446440633,10000.0,10066.791390593966,50,50,304,189
2019-01-30,10000.0,10000.496194603269,10000.0,10002.054931714563,50,50,273,146
2019-01-31,10000.0,10213.643397850943,10000.0,10008.426005113624,50,50,267,159
2019-02-01,10000.0,10151.549459058879,10000.0,10076.747569750021,50,50,218,147
2019-02-04,10000.0,10018.284188624995,10000.000000000007,10011.781221576302,50,49,238,128
2019-02-05,10000.0,10065.180081230397,10000.0,10103.84472095791,50,50,222,125
2019-02-06,10000.0,9973.230769651009,10000.0,10355.244078382,50,50,265,143
2019-02-07,10000.0,9926.212319096128,10000.0,9896.627382092545,50,50,285,175
2019-02-08,10000.0,9917.932106288254,10000.0,9858.86243029648,50,50,247,145
2019-02-11,10000.0,9999.434576467487,10000.0,10176.010654276562,50,50,220,144
2019-02-12,10000.0,10151.960527169114,10000.0,10110.534431814556,50,50,264,141
2019-02-13,10000.0,10078.7393327252,10000.0,10096.852854809758,50,50,256,132
2019-02-14,10000.0,9925.348570178317,10000.0,9955.520863760647,50,50,303,189
2019-02-15,10000.0,10016.63765663858,10000.0,10074.329186609179,50,50,370,187
2019-02-19,10000.000000000007,10024.962680341881,10000.0,10044.086072393073,49,50,319,170
2019-02-20,10000.0,10133.039070353327,10000.0,10095.256283010505,50,50,294,161
2019-02-21,10000.0,9921.73912525532,10000.0,10074.522946226536,50,50,337,196
2019-02-22,10000.0,10015.162243651568,10000.0,10021.706374436511,50,50,249,139
2019-02-25,10000.0,10089.572778885557,10000.0,10193.033445266205,50,50,260,162
