DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-02,0,0,0,0,0,0,219,163
2019-01-03,10000.0,10542.180591951757,10000.0,10016.913236725446,50,50,180,115
2019-01-04,10000.0,10075.670592030461,10000.0,10017.205097257625,50,50,266,148
2019-01-07,10000.0,10350.348235066718,10000.0,10159.965239272562,50,50,293,171
2019-01-08,10000.0,10373.812811880736,10000.0,10120.290103486197,50,50,248,150
2019-01-09,10000.0,10143.12339532389,10000.0,9963.400911336368,50,50,221,141
2019-01-10,10000.0,10124.250474935412,10000.0,9770.258723561503,50,50,245,117
2019-01-11,10000.0,9986.32845952315,10000.0,9861.050718420316,50,50,269,163
2019-01-14,10000.0,10043.803042972,10000.0,9875.036715206516,50,50,187,111
2019-01-15,10000.0,10131.967057777054,10000.00000000001,9848.347702374438,50,45,218,134
2019-01-16,10000.0,10216.147817751244,10000.0,9970.750234987145,50,50,208,137
2019-01-17,10000.0,9924.381501223792,10000.0,9909.030863878312,50,50,182,107
2019-01-18,10000.0,10111.18474943535,10000.000000000002,10103.972163221146,50,44,265,155
2019-01-22,10000.0,10094.36395914778,10000.0,9932.616060964043,50,50,263,163
2019-01-23,10000.0,9926.402696044552,10000.0,9837.09416302804,50,50,293,172
2019-01-24,10000.0,10134.752286162917,10000.0,9787.525316467956,50,50,192,129
2019-01-25,10000.0,10272.794490710015,10000.0,10159.009002981446,50,50,274,182
2019-01-28,10000.0,10176.783519078232,10000.0,9806.702233475124,50,50,256,132
2019-01-29,10000.0,10227.839881378457,10000.0,9995.590095699186,50,50,251,164
2019-01-30,10000.0,9956.112426670683,10000.0,9918.216703827376,50,50,239,145
2019-01-31,10000.0,10077.629064574045,10000.000000000007,10011.18252489373,50,49,222,135
2019-02-01,10000.0,10216.950899342482,10000.0,9956.834828078852,50,50,195,116
2019-02-04,10000.0,10106.77535822981,10000.0,9915.802991937697,50,50,245,121
2019-02-05,10000.0,10309.650787914536,10000.0,9973.434785817602,50,50,249,157
2019-02-06,10000.0,9952.494453159921,10000.0,9908.072150705946,50,50,279,171
2019-02-07,10000.0,9846.049459779118,10000.0,9877.325291713258,50,50,185,130
2019-02-08,10000.0,9915.062759087792,10000.0,9742.542190151342,50,50,233,131
2019-02-11,10000.0,10265.04870778377,10000.0,10082.197491641251,50,50,214,123
2019-02-12,10000.0,10142.860097077615,10000.0,9971.892861239281,50,50,272,174
2019-02-13,10000.0,10259.91811914825,10000.0,9906.50274046362,50,50,392,198
2019-02-14,10000.0,10165.446432348923,10000.0,9921.98822177529,50,50,276,155
2019-02-15,10000.000000000007,10262.017611202706,10000.0,9966.814023210538,49,50,266,148
2019-02-19,10000.0,10222.828981910006,10000.0,9976.885130024355,50,50,287,186
2019-02-20,10000.0,10269.875256275254,10000.0,10001.979971863597,50,50,311,168
2019-02-21,10000.0,10066.610255169797,10000.0,9764.71822275308,50,50,237,158
2019-02-22,10000.0,10053.31166320081,10000.0,9809.087805645277,50,50,236,141
2019-02-25,10000.0,10271.898978793473,10000.0,10149.002194095763,50,50,271,178
2019-02-26,10000.0,9952.36520243549,10000.0,9710.962460560766,50,50,253,167
2019-02-27,10000.0,10017.937282909563,10000.0,9908.412430087525,50,50,271,178
2019-02-28,10000.0,10033.159253115935,10000.0,9889.129287668113,50,50,216,150
2019-03-01,10000.0,10081.912814550456,10000.0,9908.099765141778,50,50,228,152
2019-03-04,10000.0,10229.66381111214,10000.0,9828.151280992646,50,50,218,118
2019-03-05,10000.0,9918.206732865745,10000.0,9860.20435465183,50,50,242,148
2019-03-06,10000.000000000007,9761.39819914895,10000.0,9934.302932057188,49,50,228,139
2019-03-07,10000.0,9798.783365478726,10000.0,9698.80867834381,50,50,181,127
2019-03-08,10000.0,10129.897776045269,10000.0,9713.183874839111,50,50,194,101
2019-03-11,10000.0,10417.975156271103,10000.000000000004,10076.036923787098,50,29,194,110
2019-03-12,10000.0,10383.803910831613,10000.0,10288.491411192015,50,50,171,108
2019-03-13,10000.0,9938.143574412159,10000.000000000002,9821.906220455363,50,44,169,105
2019-03-14,10000.0,9995.931923525444,10000.0,10078.170346399775,50,50,188,123
