DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-07,0,0,0,0,0,0,282,177
2019-01-08,10000.000000000007,10150.033814340295,10000.0,10247.006158570286,49,48,219,163
2019-01-09,10000.0,10098.309781772594,10000.0,10074.724178329076,50,50,180,115
2019-01-10,10000.0,10001.901894306382,10000.000000000007,10031.956424726182,50,49,266,148
2019-01-11,10000.0,10035.631102292871,10000.0,10049.413805138742,50,50,293,171
2019-01-14,9800.0,9769.24254014424,9800.0,9764.43871587363,50,50,248,150
2019-01-15,10000.0,10038.612532567997,10000.0,10084.309212934972,50,50,221,141
2019-01-16,10000.0,10134.036493289015,10000.0,10001.83673460143,50,50,245,117
2019-01-17,10000.0,9925.540213316042,10000.0,9980.181576360157,50,50,269,163
2019-01-18,10000.0,10175.90368270366,10000.0,10211.570521411268,50,50,187,111
2019-01-22,9800.0,9827.701378919111,10000.00000000001,9965.678621601865,50,45,218,134
2019-01-23,10000.0,9801.435720611884,10000.000000000007,9935.862181380004,50,49,208,137
2019-01-24,10000.0,9901.384330395977,10000.000000000007,9917.860919129025,50,49,182,107
2019-01-25,10000.0,10199.089931089384,10000.000000000002,10280.278090645632,50,44,265,155
2019-01-28,10000.0,10047.598358378067,10000.0,9914.887677713607,50,50,263,163
2019-01-29,10000.0,10124.115253909044,10000.0,10036.263804380465,50,50,293,172
2019-01-30,10000.0,9988.384756927075,10000.0,10033.946026264595,50,50,192,129
2019-01-31,10000.0,10042.94431795402,10000.0,10048.935711491435,50,50,274,182
2019-02-01,10000.0,10029.522445783947,10000.0,10048.086532592668,50,50,256,132
2019-02-04,10000.0,10037.799570159732,10000.0,9999.404940664634,50,50,251,164
2019-02-05,10000.0,10101.021658191257,10000.0,10092.858656448958,50,50,239,145
2019-02-06,10000.0,9979.95631695213,10000.000000000007,10080.670665590984,50,49,222,135
2019-02-07,10000.0,9931.668372645729,10000.0,9962.750619082344,50,50,195,116
2019-02-08,10000.0,9878.618455470698,10000.0,9861.213408692685,50,50,245,121
2019-02-11,10000.0,10176.772684906662,10000.0,10068.691274383826,50,50,249,157
2019-02-12,10000.0,10070.559695341977,10000.000000000007,10074.724065248267,50,49,279,171
2019-02-13,10000.0,10144.281785749832,10000.0,10103.128058565391,50,50,185,130
2019-02-14,10000.0,10016.225243826982,10000.0,9952.501156293216,50,50,233,131
2019-02-15,10000.0,10111.764148402672,10000.0,10138.70047324367,50,50,214,123
2019-02-19,10000.0,10062.83172515913,10000.0,9987.58714814833,50,50,272,174
2019-02-20,10000.0,10048.308008554612,10000.0,10052.392057526511,50,50,392,198
2019-02-21,10000.0,9957.125518379997,10000.0,9954.12758836705,50,50,276,155
2019-02-22,9795.918367346945,9733.658799667604,10000.0,9969.882095800664,49,50,266,148
2019-02-25,10000.0,10070.0437682266,10000.0,10113.419458165077,50,50,287,186
2019-02-26,10000.0,9935.560240762035,10000.0,9968.540779195668,50,50,311,168
2019-02-27,10000.000000000007,9966.485625753481,10000.0,9929.941436416848,49,50,237,158
2019-02-28,10000.000000000007,10025.111571028961,10000.0,10043.858300321337,49,50,236,141
2019-03-01,10000.0,9987.821431584163,10000.0,10033.95524008634,50,50,271,178
2019-03-04,9800.0,9939.960263042278,10000.0,10051.04494541027,50,50,253,167
2019-03-05,10000.0,9920.940337230102,10000.0,9885.414476015554,50,50,271,178
2019-03-06,10000.0,9945.914680996699,10000.0,9947.798230634142,50,50,216,150
2019-03-07,10000.0,9772.407368241556,10000.0,9736.096113444035,50,50,228,152
2019-03-08,10000.0,9878.91673252362,10000.0,9927.894914335315,50,50,218,118
2019-03-11,10000.0,10052.30961018412,9800.0,9836.692330232976,50,50,242,148
