DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-04,0,0,0,0,0,0,282,177
2019-01-07,9963.105120410319,9991.268693975311,9903.799535823167,10099.715156121505,50,49,219,163
2019-01-08,9999.999999999996,10115.181063103344,9999.999999999996,10174.832191357136,50,50,180,115
2019-01-09,10000.000000000002,10109.722366383001,9836.31454393363,9895.409258814816,50,50,266,148
2019-01-10,10000.000000000004,10005.929605774589,10000.000000000002,9975.950023032916,50,50,293,171
2019-01-11,10000.000000000002,10072.787019745612,10000.000000000002,10072.750775534429,50,50,248,150
2019-01-14,10000.0,9963.652815937714,10000.0,9988.136000747996,50,50,221,141
2019-01-15,9999.999999999996,10082.027102371523,10000.000000000002,10068.841564256949,50,50,245,117
2019-01-16,10000.000000000002,10125.108156794615,10000.000000000002,10071.89207569885,50,50,269,163
2019-01-17,9999.999999999998,9995.677532352995,10000.000000000002,9975.971188521164,50,50,187,111
2019-01-18,10000.000000000004,10169.44495720066,9999.999999999998,10192.069209428222,50,45,218,134
2019-01-22,9999.999999999998,9924.434477239003,9999.92861200181,9955.022802996606,50,50,208,137
2019-01-23,10000.0,9946.789311767012,9999.999999999998,9964.756449295957,50,49,182,107
2019-01-24,9999.999999999998,10026.087815207859,9999.999999999996,9970.261587238081,50,44,265,155
2019-01-25,9999.999999999998,10127.376034099972,10000.000000000005,10102.854645687265,50,50,263,163
2019-01-28,10000.000000000002,9949.05026479036,10000.000000000002,9910.450725515251,50,50,293,172
2019-01-29,10000.0,9993.903201994253,9999.999999999998,9975.496567304857,50,50,192,129
2019-01-30,9999.999999999998,9991.379112066474,10000.0,9975.868105738187,50,50,274,182
2019-01-31,10000.0,10101.261539837522,10000.000000000004,10061.817190502585,50,50,256,132
2019-02-01,10000.0,10098.206507830642,10000.000000000002,10100.411415051078,50,50,251,164
2019-02-04,9999.999999999996,9998.068768953159,9999.999999999998,10005.96217811704,50,50,239,145
2019-02-05,9999.999999999998,10101.267449627943,10000.000000000002,10077.604308784099,50,49,222,135
2019-02-06,9999.999999999996,9996.565719904926,9999.999999999996,10041.738172603431,50,50,195,116
2019-02-07,10000.0,9928.071912782289,10000.000000000004,9940.693761624732,50,50,245,121
2019-02-08,10000.000000000002,9915.302436620512,9999.999999999998,9930.975402199443,50,50,249,157
2019-02-11,10000.000000000005,10105.823749264793,9888.986937314472,10003.054192610452,50,50,279,171
2019-02-12,10000.000000000004,10083.012478118544,10000.0,10115.080334909,50,50,185,130
2019-02-13,10000.000000000004,10051.853848263305,10000.0,10098.376198901287,50,50,233,131
2019-02-14,9999.999999999998,9915.953747100346,10000.000000000002,9980.895008267353,50,50,214,123
2019-02-15,10000.0,10134.223431468492,9999.999999999998,10105.58144419346,50,50,272,174
2019-02-19,10000.000000000005,10025.809151890166,10000.000000000002,9950.213963669483,50,50,392,198
2019-02-20,9999.999999999996,10050.775361064148,9999.999999999998,10052.071285697153,50,50,276,155
2019-02-21,9999.999999999995,10027.518232530663,9999.999999999998,9969.504191839036,49,50,266,148
2019-02-22,9999.999999999998,10010.03556977771,10000.0,9948.845493440207,50,50,287,186
2019-02-25,9999.999999999996,10107.63511411037,10000.000000000004,10140.840829099592,50,50,311,168
2019-02-26,9399.985315554099,9329.008842872949,10000.0,9908.548468628986,50,50,237,158
2019-02-27,9863.523331133301,9846.347012106053,10000.0,9975.865319406803,50,50,236,141
2019-02-28,10000.0,10079.380053199024,9999.999999999998,10074.873544004919,50,50,271,178
2019-03-01,10000.000000000004,10051.183475807555,9999.999999999996,10049.511422973108,50,50,253,167
2019-03-04,9999.999999999996,9977.651805195057,9999.999999999996,10052.782698123954,50,50,271,178
2019-03-05,9999.999999999998,9889.269731365837,10000.000000000005,9848.10532907026,50,50,216,150
2019-03-06,10000.000000000002,9919.758671700632,9999.999999999998,10045.7330861113,50,50,228,152
2019-03-07,10000.000000000004,9879.676868999139,10000.0,9901.923366382307,50,50,218,118
2019-03-08,10000.000000000002,9902.34994351769,10000.000000000004,9819.090549409217,50,50,242,148
2019-03-11,10000.000000000002,10044.611169204582,9999.999999999998,10104.770976399397,49,50,228,139
2019-03-12,10000.000000000002,10170.384252918004,9783.569361619202,9894.416011968819,50,50,181,127
2019-03-13,9999.999999999995,10048.07294556467,10000.0,10091.30098321404,50,50,194,101
2019-03-14,9999.999999999995,9446.774513321945,9999.999999999998,9928.462744656976,50,29,194,110
2019-03-15,10000.000000000004,10012.768040945763,10000.0,9895.468782350341,50,50,171,108
2019-03-18,10000.0,9982.618663119862,10000.000000000007,9954.509798369674,50,44,169,105
2019-03-19,10000.000000000004,9849.186159096222,9999.999999999998,10136.995938365528,50,50,188,123
2019-03-20,10000.000000000005,9714.154284054563,10000.000000000002,10011.637401591857,50,41,208,125
2019-03-21,9999.999999999998,9909.59441248856,9999.999999999998,9587.489107755191,50,50,184,97
2019-03-22,10000.0,10183.127521320972,10000.0,10079.654177919343,50,39,224,140
2019-03-25,10000.0,9793.974866883475,10000.000000000005,9798.496725024863,50,50,222,153
2019-03-26,10000.000000000002,10125.099891104463,9999.999999999996,10088.678466230314,50,50,209,161
2019-03-27,10000.0,10074.218699573148,10000.0,9969.95265590006,40,50,172,104
2019-03-28,9999.999999999998,9915.657881768233,9999.999999999995,9994.706476402984,50,45,206,128
2019-03-29,10000.000000000005,10026.515618137732,10000.000000000002,10117.519736220418,45,50,221,158
2019-04-01,9999.99999999999,10052.831454932873,10000.000000000002,10116.363829752623,50,50,212,144
2019-04-02,10000.0,10081.938399534763,9842.157719830782,9847.413895235717,50,50,228,145
