DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-02,0,0,0,0,0,0,198,145
2019-01-03,10000.0,10392.515180450304,10000.0,10099.284641544293,50,50,227,127
2019-01-04,10000.0,10125.047892632,10000.0,9968.93156339719,50,50,268,178
2019-01-07,10000.0,10295.392066690592,10000.0,10207.99577796289,50,50,285,164
2019-01-08,10000.0,10214.127927506936,10000.0,9989.53373370429,50,50,244,155
2019-01-09,10000.0,10131.696020383006,10000.0,9979.941344200091,50,50,226,147
2019-01-10,10000.0,9927.06732886802,10000.0,9857.90743618619,50,50,263,143
2019-01-11,10000.0,10154.251122440875,10000.0,9970.860916943993,50,50,293,167
2019-01-14,10000.0,10077.348967694359,10000.0,9973.050223002068,50,50,190,121
2019-01-15,10000.0,10152.725072094448,10000.0,9847.594573715518,50,50,250,148
2019-01-16,10000.0,10131.73077729178,10000.0,10051.480278056792,50,50,200,138
2019-01-17,10000.0,10076.339982091951,10000.0,9945.530745784816,50,50,242,142
2019-01-18,10000.0,10088.41813785687,10000.0,10199.288066824998,50,50,276,178
2019-01-22,10000.0,9978.990397295038,10000.0,9977.252946948729,50,50,270,163
2019-01-23,10000.0,9976.247362928634,10000.0,9916.438328466847,50,50,275,174
2019-01-24,10000.0,10134.954058108313,10000.0,9737.986068498356,50,50,223,144
2019-01-25,10000.0,10306.762362657195,10000.0,10011.547214363783,50,50,304,189
2019-01-28,10000.0,10121.035527498367,10000.0,9826.29044736246,50,50,273,146
2019-01-29,10000.0,10156.324699388915,10000.0,10017.072924831857,50,50,267,159
2019-01-30,10000.0,10201.394332242986,10000.0,9986.39846668611,50,50,218,147
2019-01-31,10000.0,10231.711910864577,10000.000000000007,9914.10806359396,50,49,238,128
2019-02-01,10000.0,10297.398658415821,10000.0,9930.540491972106,50,50,222,125
2019-02-04,10000.0,10123.199324541165,10000.0,9956.78274400066,50,50,265,143
2019-02-05,10000.0,10188.196822367974,10000.0,10021.713124979071,50,50,285,175
2019-02-06,10000.0,10056.858497466968,10000.0,9948.475137130637,50,50,247,145
2019-02-07,10000.0,9943.428959071804,10000.0,9927.763307907115,50,50,220,144
2019-02-08,10000.0,10050.071506565148,10000.0,9744.04830281355,50,50,264,141
2019-02-11,10000.0,10202.50844185184,10000.0,10141.480514084737,50,50,256,132
2019-02-12,10000.0,10165.156643974706,10000.0,10036.31702972814,50,50,303,189
2019-02-13,10000.0,10271.834153244803,10000.0,10059.549823589883,50,50,370,187
2019-02-14,10000.000000000007,9885.910629570977,10000.0,9979.543827164869,49,50,319,170
2019-02-15,10000.0,10363.086219714014,10000.0,10105.929386027776,50,50,294,161
