DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-03,0,0,0,0,0,0,333,226
2019-01-04,10000.000000000005,9950.886194041608,9999.999999999998,10053.16550407869,50,49,198,145
2019-01-07,10000.0,10290.92207004492,9999.999999999998,10282.082192305688,50,50,227,127
2019-01-08,10000.0,10270.930595887941,10000.000000000002,10132.365400043396,50,50,268,178
2019-01-09,10000.000000000002,10137.600201262949,10000.000000000002,10059.203867499196,50,50,285,164
2019-01-10,9999.999999999996,9937.96164171306,10000.0,9932.081799211974,50,50,244,155
2019-01-11,10000.0,10038.80035795788,10000.0,10126.298009232018,50,50,226,147
2019-01-14,10000.0,10026.87421855891,9999.999999999998,9954.895966751017,50,50,263,143
2019-01-15,10000.0,9889.055558086391,10000.0,9989.75596145201,50,50,293,167
2019-01-16,9999.999999999998,10124.216337187398,10000.0,10164.295772251711,50,50,190,121
2019-01-17,9999.999999999996,10014.830309411978,10000.0,9957.926417736408,50,50,250,148
2019-01-18,10000.0,10196.957321722752,9999.999999999998,10236.601617569018,50,50,200,138
2019-01-22,9999.999999999996,9962.675490361238,9999.999999999998,9991.49880130645,50,49,242,142
2019-01-23,10000.000000000002,9893.247571338736,9999.999999999996,9905.902029269,50,50,276,178
2019-01-24,9999.999999999998,9998.40381439485,10000.0,9958.010668283825,50,50,270,163
2019-01-25,10000.0,10173.493342531914,10000.0,10077.719640148545,50,50,275,174
2019-01-28,10000.0,9982.567773895422,9999.999999999998,9916.378239266971,50,50,223,144
2019-01-29,10000.000000000004,10124.629408387405,10000.0,9992.431610205267,50,50,304,189
2019-01-30,10000.000000000002,10026.789865356279,9999.999999999998,10018.866316383735,50,50,273,146
2019-01-31,9999.999999999998,10189.167538273387,9999.999999999998,10014.522991130858,50,50,267,159
2019-02-01,10000.0,10113.502382755212,10000.000000000004,10100.031763471781,50,50,218,147
2019-02-04,10000.0,10066.607146468166,9999.999999999996,10079.509956476453,50,49,238,128
2019-02-05,9999.999999999998,10080.835837395756,9999.999999999995,10075.840749657964,50,50,222,125
2019-02-06,10000.000000000002,10002.750071205244,9999.999999999996,10113.115995390119,50,50,265,143
2019-02-07,10000.0,9962.525904132426,9999.999999999993,9967.828441974443,50,50,285,175
2019-02-08,10000.0,9947.244878057014,10000.0,10008.05778320871,50,50,247,145
2019-02-11,9999.999999999998,10014.231750020665,10000.0,10196.28039973833,50,50,220,144
2019-02-12,9999.999999999998,10113.470738556936,10000.0,10079.381964598246,50,50,264,141
2019-02-13,10000.000000000002,9997.897147287067,9999.999999999996,10075.483411809853,50,50,256,132
2019-02-14,10000.0,9931.561892107791,10000.0,9942.438392019743,50,50,303,189
2019-02-15,9999.999999999998,10058.86507916652,10000.0,10159.60981017178,50,50,370,187
2019-02-19,9999.999999999998,10010.601797352803,9999.999999999996,10030.616236638896,49,50,319,170
2019-02-20,10000.000000000002,10071.651726688078,9999.999999999996,10032.242186505093,50,50,294,161
2019-02-21,9999.999999999998,9865.75048041817,9999.999999999998,10064.252632124631,50,50,337,196
2019-02-22,10000.000000000004,10011.284818264121,10000.0,10071.190527341883,50,50,249,139
2019-02-25,10000.0,10098.052691438032,10000.000000000002,10137.124280022597,50,50,260,162
2019-02-26,9999.999999999998,9878.79129965845,10000.0,9936.426418502053,50,50,292,175
2019-02-27,10000.0,9968.960681919963,10000.000000000002,9987.654058519222,50,50,270,173
2019-02-28,10000.000000000004,10088.548688448724,9999.999999999995,9988.991161780854,50,50,286,186
2019-03-01,9999.999999999998,10122.750814282854,10000.0,10017.354023381142,50,50,258,161
2019-03-04,9999.999999999995,10019.390945473087,9999.999999999993,10016.979178496244,50,50,228,144
2019-03-05,10000.0,9929.700748606674,10000.000000000002,9895.10196149325,50,50,226,156
2019-03-06,9999.999999999998,9926.394720538141,9999.999999999998,9981.49988630255,50,50,239,132
2019-03-07,9999.999999999998,9823.747930456759,10000.0,9899.804020653906,49,50,249,160
2019-03-08,10000.0,9865.030558080027,9999.999999999998,9815.211510011426,50,50,206,131
2019-03-11,10000.000000000002,10100.537190803047,10000.000000000002,10075.160393189557,50,50,225,143
2019-03-12,9999.999999999998,10059.68591175707,10000.0,10195.675669392838,50,50,197,105
2019-03-13,10000.0,9724.71642311904,10000.000000000002,10019.156935297917,50,44,193,117
2019-03-14,10000.0,9612.318184935826,10000.0,10056.39796236243,50,50,175,101
2019-03-15,10000.000000000005,9997.754143294233,9999.999999999998,10050.049632767998,50,47,172,114
2019-03-18,10000.0,9978.70598391782,10000.000000000004,10055.68404661358,50,37,194,104
2019-03-19,10000.0,10104.783174274753,10000.000000000002,10052.530998912984,48,50,213,117
2019-03-20,9999.999999999995,9922.744128789976,10000.0,9812.189548652203,50,47,186,100
2019-03-21,10000.000000000002,9739.33581075122,10000.0,10064.186607409541,50,38,216,143
2019-03-22,10000.00000000001,10146.140893040756,9999.999999999998,10061.859640967416,50,50,211,149
2019-03-25,10000.000000000005,9857.997982343493,10000.00000000001,9710.70937546217,50,50,198,150
2019-03-26,9999.999999999996,9953.472938406978,9999.999999999998,10103.473745600631,50,50,211,132
2019-03-27,10000.000000000002,10019.544223519953,10000.0,9974.34947898483,48,50,192,117
2019-03-28,9956.196101614367,9860.443608297097,9999.999999999998,9907.172695179317,50,50,219,145
2019-03-29,10000.000000000002,10022.193258842803,9999.999999999996,10041.614097070316,50,50,221,142
2019-04-01,10000.0,10118.236261020642,10000.000000000005,10077.877414761904,50,50,257,175
2019-04-02,10000.0,10064.061098321126,10000.0,10069.101084329128,50,50,272,180
2019-04-03,10000.0,10045.99133686556,10000.0,10040.515539217946,50,50,219,128
2019-04-04,10000.0,9933.358692159596,10000.000000000004,9997.738807206164,50,50,182,115
2019-04-05,10000.0,10083.31938152365,10000.000000000002,10021.853335218888,50,50,188,129
2019-04-08,10000.0,10042.965584158206,9999.999999999995,9968.189380296195,50,47,202,128
2019-04-09,10000.000000000002,9985.59174245023,9999.999999999995,9911.659918011728,50,50,202,123
2019-04-10,10000.0,9963.587792150756,9999.999999999998,9958.752134512408,50,50,209,122
2019-04-11,10000.000000000002,10059.81430378187,10000.000000000004,10049.916867696604,50,50,205,129
2019-04-12,10000.0,10068.987963912172,10000.0,9991.34945792059,50,50,225,152
2019-04-15,9999.999999999995,10032.720442523512,9999.999999999998,9891.471332837007,50,50,194,117
2019-04-16,10000.000000000004,10021.561101796238,9999.999999999996,10038.921557266827,50,50,256,170
2019-04-17,10000.0,10014.407215437832,10000.000000000004,9856.213284570586,50,50,227,149
2019-04-18,10000.000000000005,9966.386356564322,9999.999999999998,9848.330507659255,50,50,314,226
2019-04-22,9999.999999999998,9947.897042355173,9999.999999999995,9938.478920594556,50,50,277,169
2019-04-23,9999.999999999998,9972.448976625674,9999.99999999999,10141.565755412013,50,50,235,141
2019-04-24,10000.000000000007,10156.272280529423,10000.000000000002,10095.981100126432,50,50,341,241
2019-04-25,10000.000000000005,9997.144317075468,9999.999999999996,10046.970718459981,50,50,406,279
2019-04-26,10000.0,9898.033557854924,10000.000000000002,9895.709738248577,50,50,321,230
2019-04-29,9999.999999999995,10115.48134368804,10000.000000000004,10066.524911466055,50,50,325,239
2019-04-30,10000.0,9981.84122953864,9999.999999999998,10030.467558686623,50,50,283,172
2019-05-01,10000.0,9984.93949661186,9999.999999999996,9966.928176900907,50,50,376,233
2019-05-02,10000.000000000004,9856.685748617087,10000.0,9900.51773836396,50,50,407,260
