DATE,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2018-12-31,0,0,0,0,0,0,0,198,198
2019-01-02,10259.567466620023,10000.0,10135.731328306661,10000.0,50,50,0.81,227,227
2019-01-03,10064.60400070303,10000.0,10060.661938056954,10000.0,50,50,0.7,268,268
2019-01-04,10233.053260953782,10000.0,10197.922897276085,10000.0,50,50,0.79,285,285
2019-01-07,10283.528724736105,10000.0,10151.7304656364,10000.0,50,50,0.71,244,244
2019-01-08,10069.983741975366,10000.0,10028.264604662283,10000.0,50,50,0.67,226,226
2019-01-09,10000.06544794331,10000.0,9877.637775967472,10000.0,50,50,0.84,263,263
2019-01-10,9998.443231645135,10000.0,10248.031131035026,10000.0,50,50,0.83,293,293
2019-01-11,9984.59292382099,10000.0,9912.438571440714,10000.0,50,50,0.7,190,190
2019-01-14,10086.204318837848,10000.0,9926.041290731313,10000.0,50,50,0.67,250,250
2019-01-15,10060.382841807217,10000.0,10075.095969259342,10000.0,50,50,0.68,200,200
2019-01-16,10031.155688964656,10000.0,10091.548078733911,10000.0,50,50,0.8,242,242
2019-01-17,10161.91247629052,10000.0,10050.98947513977,10000.0,50,50,0.87,276,276
2019-01-18,10018.128766430607,10000.0,10044.919861900707,10000.0,50,50,0.73,270,270
2019-01-22,10019.099765818695,10000.0,9966.728858104998,10000.0,50,50,0.73,275,275
2019-01-23,9900.083625584504,10000.0,10087.877344990027,10000.0,50,50,0.74,223,223
2019-01-24,10194.110086803075,10000.0,10247.861626603051,10000.0,50,50,0.73,304,304
2019-01-25,9905.440773887241,10000.0,10017.969630957092,10000.0,50,50,0.72,273,273
2019-01-28,10101.88811035225,10000.0,10120.54627346686,10000.0,50,50,0.73,267,267
2019-01-29,10030.258451826634,10000.0,9939.928261713996,10000.0,50,50,0.78,218,218
2019-01-30,10019.309218579605,10000.0,10289.22079010376,10000.0,50,50,0.82,238,238
2019-01-31,10041.98375179328,10000.0,9964.208354474365,10000.0,50,50,0.87,222,222
2019-02-01,10047.901283635076,10000.0,10007.18799523547,10000.0,50,50,0.78,265,265
2019-02-04,10031.870341898286,10000.0,10081.824540337899,10000.0,50,50,0.68,285,285
2019-02-05,9926.945500128573,10000.0,10027.93222120858,10000.0,50,50,0.75,247,247
2019-02-06,9961.90003877868,10000.0,9870.922885429443,10000.0,50,50,0.75,220,220
2019-02-07,9974.734861521529,10000.0,9788.304930547783,10000.0,50,50,0.76,264,264
2019-02-08,10159.050165452629,10000.0,10172.945941756,10000.0,50,50,0.75,256,256
2019-02-11,10083.641200709446,10000.0,10141.401013333556,10000.0,50,50,0.81,303,303
2019-02-12,10027.392835819059,10000.0,10031.292609072507,10000.0,50,50,0.67,370,370
2019-02-13,9907.410709817805,10000.0,9918.082341523097,10000.0,50,50,0.81,319,319
2019-02-14,10180.705064358468,10000.0,10115.466328567418,10000.0,50,50,0.76,294,294
2019-02-15,10262.145322161316,10000.0,10078.420111225878,10000.0,50,50,0.79,337,337
2019-02-19,10095.036386621503,10000.0,10084.304652318116,10000.0,50,50,0.74,249,249
2019-02-20,10124.534345521792,10000.0,9997.561996586506,10000.0,50,50,0.75,260,260
2019-02-21,9985.52549997823,10000.0,9965.284487219682,10000.0,50,50,0.86,292,292
2019-02-22,10207.884009339998,10000.0,10056.63570858208,10000.0,50,50,0.79,270,270
2019-02-25,9973.757981984689,10000.0,9990.199079317223,10000.0,50,50,0.75,286,286
2019-02-26,9987.387174209342,10000.0,9912.58389062024,10000.000000000007,50,49,0.7676767676767676,258,258
2019-02-27,10027.044998344078,10000.0,10033.907674798342,10000.000000000007,50,49,0.7272727272727273,228,228
2019-02-28,10035.00791427052,10000.0,10110.584972784336,10000.0,50,50,0.74,226,226
2019-03-01,10096.157922102988,10000.0,10216.163970761843,10000.0,50,50,0.7,239,239
2019-03-04,9884.14908979458,10000.0,9862.685303257449,10000.0,50,50,0.7,249,249
2019-03-05,10084.791224281516,10000.0,10028.228272175402,10000.0,50,50,0.67,206,206
2019-03-06,10211.511568109525,10000.0,9968.350945519944,10000.0,50,50,0.68,225,225
2019-03-07,9867.597270710565,10000.0,10249.510716132525,10000.0,50,50,0.69,197,197
2019-03-08,10073.946147139834,10000.0,10422.057769273719,10000.0,50,50,0.68,193,193
2019-03-11,10189.922740834518,10000.0,10369.479131752718,10000.0,50,50,0.68,175,175
2019-03-12,9994.761429050288,10000.0,10046.501272302032,10000.0,50,50,0.66,172,172
2019-03-13,10093.138389328851,10000.000000000007,9984.625966411912,10000.000000000007,49,49,0.7142857142857143,194,194
2019-03-14,10064.064225438642,10000.0,9932.0807539871,10000.0,50,50,0.74,213,213
2019-03-15,10065.296565166927,10000.0,9988.366897051303,10000.0,50,50,0.77,186,186
2019-03-18,10104.334574117414,10000.0,10063.151239846578,10000.0,50,50,0.78,216,216
2019-03-19,9987.932571001465,10000.0,9937.846111627432,10000.0,50,50,0.72,211,211
2019-03-20,9971.958236060409,10000.0,9839.815331794967,10000.0,50,50,0.9,198,198
2019-03-21,10091.944075285575,10000.0,10020.239855794549,10000.0,50,50,0.93,211,211
2019-03-22,10029.855660934532,10000.0,9614.874239480989,10000.0,50,50,0.86,192,192
2019-03-25,10073.144435664179,10000.0,10034.926883791566,10000.0,50,50,0.91,219,219
2019-03-26,9986.196194512062,10000.0,10160.522863052653,10000.0,50,50,0.86,221,221
2019-03-27,9884.898141874583,10000.0,10034.246620318028,10000.0,50,50,0.84,257,257
2019-03-28,10154.354675611137,10000.0,10092.935675187064,10000.0,50,50,0.89,272,272
2019-03-29,10210.206586029433,10000.0,10165.893761213083,10000.0,50,50,0.86,219,219
2019-04-01,10119.730039796243,10000.0,10065.251976169871,10000.0,50,50,0.86,182,182
2019-04-02,10266.722337631778,10000.0,9999.459020220464,10000.0,50,50,0.88,188,188
2019-04-03,9805.668044042488,10000.0,9937.395459534864,10000.0,50,50,0.75,202,202
2019-04-04,10063.612292660348,10000.0,10108.412921834508,10000.0,50,50,0.75,202,202
2019-04-05,10130.063464107176,10000.0,10116.17272651988,10000.0,50,50,0.8,209,209
2019-04-08,9975.619400678035,10000.0,9975.052609463995,10000.0,50,50,0.84,205,205
2019-04-09,9970.334550027508,10000.0,9991.709610973732,10000.0,50,50,0.78,225,225
2019-04-10,9989.650029043647,10000.0,10002.155575009832,10000.0,50,50,0.73,194,194
2019-04-11,9999.692087294685,10000.0,10033.76540865006,10000.0,50,50,0.79,256,256
2019-04-12,9971.428237620106,10000.0,10019.772991689055,10000.0,50,50,0.78,227,227
2019-04-15,9994.042182883017,10000.0,9877.397777362246,10000.0,50,50,0.78,314,314
2019-04-16,10076.736108261215,10000.0,9815.202713141596,10000.0,50,50,0.8,277,277
2019-04-17,9917.311845010337,10000.0,9862.783077707307,10000.0,50,50,0.75,235,235
2019-04-18,9946.77722716802,10000.0,10003.726519782895,10000.000000000007,50,49,0.8282828282828283,341,341
2019-04-22,10011.211063528372,10000.0,9993.814626897292,10000.0,50,50,0.98,406,406
2019-04-23,10140.11451655614,10000.0,10007.52946785682,10000.0,50,50,0.97,321,321
2019-04-24,9940.986127834534,10000.0,9836.252702370768,10000.0,50,50,0.79,325,325
2019-04-25,9965.864234242918,10000.0,9930.21348332076,10000.0,50,50,0.86,283,283
2019-04-26,10055.02641234114,10000.0,10121.530447466515,10000.0,50,50,0.87,376,376
2019-04-29,10020.236869164246,10000.0,9957.694682405765,10000.0,50,50,0.81,407,407
2019-04-30,9982.77034224017,10000.0,9968.966439839587,10000.0,50,50,0.79,309,309
2019-05-01,9907.371724946888,10000.0,9942.41074342337,10000.0,50,50,0.81,315,315
2019-05-02,10096.47303269738,10000.0,10060.260514928023,10000.0,50,50,0.88,393,393
2019-05-03,9907.966905628831,10000.0,9848.07460754014,10000.0,50,50,0.86,402,402
2019-05-06,10131.994915972175,10000.0,10070.714036586767,10000.0,50,50,0.84,413,413
2019-05-07,9881.875844521906,10000.0,9941.08304794264,10000.0,50,50,0.81,381,381
2019-05-08,9859.278834549088,10000.0,9929.669057172272,10000.0,50,50,0.86,315,315
2019-05-09,10019.804572737246,10000.0,9945.368388307128,10000.0,50,50,0.82,238,238
2019-05-10,9850.935856065795,10000.0,9803.599742388815,10000.0,50,50,0.93,298,298
2019-05-13,9924.932433618891,10000.0,9918.879273289942,10000.0,50,50,0.98,302,302
2019-05-14,9992.744710746274,10000.0,10036.00170709105,10000.0,50,50,0.93,247,247
2019-05-15,10121.342124626479,10000.0,10079.409052429224,10000.0,50,50,0.94,268,268
2019-05-16,9847.699815417816,10000.0,9887.208857625286,10000.0,50,50,0.85,243,243
2019-05-17,9839.097991583614,10000.0,9856.800439423752,10000.0,50,50,0.9,232,232
2019-05-20,10039.52645438153,10000.0,10120.603468138741,10000.0,50,50,0.9,271,271
2019-05-21,10036.615622128831,10000.0,9989.834373527901,10000.0,50,50,0.94,269,269
2019-05-22,9873.800926024598,10000.0,9823.408672819804,10000.0,50,50,0.76,189,189
2019-05-23,10062.671798030671,10000.0,9996.9823969247,10000.0,50,50,0.8,218,218
2019-05-24,10032.6967440022,10000.0,10006.52517510794,10000.000000000007,50,49,0.8484848484848485,220,220
2019-05-28,9941.190172960092,10000.0,9811.366403786233,10000.0,50,50,0.85,292,292
2019-05-29,9986.030111583808,10000.0,10053.163956358267,10000.0,50,50,0.81,265,265
2019-05-30,10028.437399058625,10000.0,9831.861930366566,10000.0,50,50,0.94,290,290
2019-05-31,10044.483391958696,10000.0,9971.792918760946,10000.0,50,50,0.93,332,332
2019-06-03,10265.405984622806,10000.0,10111.125443533585,10000.0,50,50,0.89,266,266
2019-06-04,10105.697820222382,10000.0,10086.37854495678,10000.0,50,50,0.97,183,183
2019-06-05,9864.254236670527,10000.0,9867.372091192881,10000.0,50,50,0.87,234,234
2019-06-06,10035.082356889829,10000.0,10056.406489165502,10000.0,50,50,0.94,223,223
2019-06-07,10098.993292396726,10000.0,10577.614257485853,10000.0,50,50,0.85,229,229
2019-06-10,10028.537336325304,10000.0,10128.261515507946,10000.0,50,50,0.91,229,229
2019-06-11,9934.715130070146,10000.0,9824.581007940662,10000.0,50,50,0.95,228,228
2019-06-12,10057.305944949905,10000.0,10002.958551702915,10000.0,50,50,0.78,235,235
2019-06-13,9981.671276260164,10000.0,9978.579621451992,10000.0,50,50,0.82,219,219
2019-06-14,9937.56680838474,10000.0,9771.656476069087,10000.0,50,50,0.9,239,239
2019-06-17,10136.32613856368,10000.0,9870.053702287223,10000.0,50,50,0.81,239,239
2019-06-18,10100.914151308198,10000.0,10088.60404628403,10000.0,50,50,0.8,150,150
2019-06-19,10021.23411576783,10000.0,10226.343422750573,10000.0,50,50,0.87,169,169
2019-06-20,10061.237349825864,10000.0,9870.160091688906,10000.0,50,50,0.93,151,151
2019-06-21,10052.718754638126,10000.0,10169.93449776781,10000.0,50,50,0.94,249,249
2019-06-24,10025.12441287504,10000.0,10013.034840646424,10000.0,50,50,0.81,262,262
2019-06-25,9946.660408040714,10000.0,10061.918587179845,10000.0,50,50,0.83,209,209
2019-06-26,10047.91325026388,10000.0,9975.56571135686,10000.0,50,50,0.68,264,264
2019-06-27,10109.85034701216,10000.0,10171.665646832527,10000.0,50,50,0.76,209,209
2019-06-28,10189.408293425558,10000.0,10254.813914371494,10000.0,50,50,0.84,228,228
2019-07-01,9839.601737285117,10000.0,9873.451930843374,10000.0,50,50,0.88,106,106
2019-07-02,10166.998974586935,10000.0,10125.170020616923,10000.0,50,50,0.85,176,176
2019-07-03,10046.653750723,10000.0,10019.623365850452,10000.0,50,50,0.82,264,264
2019-07-05,9937.169658661536,10000.0,10094.374811438987,10000.0,50,50,0.82,271,271
