DATE,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2018-12-31,0,0,0,0,0,0,0,282,282
2019-01-03,10015.838626301684,10000.0,10072.087340436807,10000.0,50,50,0.86,219,219
2019-01-04,10256.017836777097,10000.0,10231.876203892492,10000.0,50,50,0.8,180,180
2019-01-07,10236.791056833774,10000.0,10230.471840694881,10000.0,50,50,0.81,266,266
2019-01-08,10001.462042512114,10000.0,10121.928756244326,10000.0,50,50,0.83,293,293
2019-01-09,9977.079631893888,10000.0,10035.908595426688,10000.0,50,50,0.74,248,248
2019-01-10,10011.161337229309,10000.0,10084.875189840857,10000.0,50,50,0.86,221,221
2019-01-11,9961.52663485724,10000.0,9818.345628027937,10000.0,50,50,0.85,245,245
2019-01-14,10056.561271601713,10000.0,9891.018887385244,10000.0,50,50,0.9,269,269
2019-01-15,10046.443327730036,10000.0,10045.391352176215,10000.0,50,50,0.82,187,187
2019-01-16,10028.82563526779,10000.0,10163.682234816124,10000.0,50,50,0.85,218,218
2019-01-17,10145.908699749967,10000.0,10184.777895397176,10000.0,50,50,0.79,208,208
2019-01-18,9989.755397780747,10000.000000000007,10069.426344928981,10000.0,49,50,0.8787878787878788,182,182
2019-01-22,9860.108931635375,10000.0,9926.753517394907,10000.0,50,50,0.9,265,265
2019-01-23,9972.60364536973,10000.000000000007,9812.315502903453,10000.0,49,50,0.8888888888888888,263,263
2019-01-24,10087.240459194549,10000.0,10072.57546260096,10000.0,50,50,0.79,293,293
2019-01-25,9960.338065968157,10000.0,9950.044767777707,10000.0,50,50,0.75,192,192
2019-01-28,10107.34293942158,10000.0,10066.176921125627,10000.0,50,50,0.73,274,274
2019-01-29,9998.977231210765,10000.0,10036.37710362131,10000.0,50,50,0.76,256,256
2019-01-30,10078.648218279799,10000.0,10281.508055727216,10000.0,50,50,0.69,251,251
2019-01-31,10031.607272824862,10000.0,10129.389659581737,10000.0,50,50,0.85,239,239
2019-02-01,10027.54920340859,10000.0,9930.88438187024,10000.0,50,50,0.87,222,222
2019-02-04,10029.219318037136,10000.0,10080.694273089808,10000.0,50,50,0.83,195,195
2019-02-05,10046.77703854628,10000.0,9945.97421788701,10000.0,50,50,0.9,245,245
2019-02-06,9932.941334854662,10000.0,9927.992513454428,10000.0,50,50,0.75,249,249
