DATE,investment long,earning long,investment short,earning short,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2018-12-31,0,0,0,0,0,0,0,333,333
2019-01-08,10000.0,10049.604237248368,10000.0,10205.428645724996,35,45,0.0,198,198
2019-01-09,10000.0,9883.73471584862,10000.000000000004,10013.629241515253,31,47,0.0,227,227
2019-01-10,9999.999999999998,10108.549595354652,10000.000000000002,10050.134680937741,39,43,0.0,268,268
2019-01-11,10000.000000000004,9918.310758298985,9999.999999999996,9977.056112133849,36,47,0.0,285,285
2019-01-14,10000.000000000002,10084.293282926781,10000.000000000002,10016.194901701747,35,45,0.0,244,244
2019-01-15,10000.000000000002,10023.55663647096,10000.000000000002,9796.732428653426,35,45,0.0,226,226
2019-01-16,9999.999999999996,9982.033923098776,10000.000000000002,9925.452886293115,32,46,0.0,263,263
2019-01-17,9999.999999999998,10091.221087310478,10000.0,9843.820835342047,48,45,0.0,293,293
2019-01-18,9999.999999999998,9887.650445998415,9999.999999999998,9825.142517037415,31,46,0.0,190,190
2019-01-22,10000.000000000002,10041.630123030984,10000.0,9963.01056046225,33,48,0.0,250,250
2019-01-23,9999.999999999998,9965.165874240522,10000.0,9952.392193965854,33,49,0.0,200,200
2019-01-24,10000.0,10074.038044962746,10000.000000000002,10144.845237884892,31,45,0.0,242,242
2019-01-25,10000.0,9898.349160533799,9999.999999999998,9921.169864607356,45,48,0.0,276,276
2019-01-28,10000.000000000002,10006.63712318139,10000.0,10116.224253148694,31,49,0.0,270,270
2019-01-29,10000.0,9951.848073764455,10000.000000000002,9990.31582318918,31,42,0.0,275,275
2019-01-30,10000.0,10082.933141387228,10000.0,9836.562951262209,32,50,0.0,223,223
2019-01-31,10000.000000000002,10088.243161587709,9999.999999999996,10101.536329607672,34,48,0.0,304,304
2019-02-01,10000.0,10068.081362175353,9999.999999999996,9990.456248582363,32,49,0.0,273,273
2019-02-04,10000.0,10119.870721151523,9999.999999999996,10033.012823955067,33,43,0.0,267,267
2019-02-05,10000.0,10082.11554512139,10000.0,9925.40034809022,32,49,0.0,218,218
2019-02-06,9999.999999999998,9919.380655164625,10000.0,9867.705583316072,45,49,0.0,238,238
2019-02-07,10000.000000000002,9921.154864588707,9999.999999999998,9874.674970242653,31,46,0.0,222,222
2019-02-08,10000.000000000002,10051.593499046401,10000.0,10077.73586596352,42,48,0.0,265,265
2019-02-11,10000.0,10070.249829866669,10000.000000000004,10067.14351040416,33,48,0.0,285,285
2019-02-12,10000.0,10209.930540883432,9999.99999999999,10056.116377507326,32,45,0.0,247,247
2019-02-13,10000.0,9950.120085620325,10000.000000000002,9951.360704700752,38,46,0.0,220,220
2019-02-14,9999.999999999998,10062.271166206707,10000.0,10107.73529077337,34,46,0.0,264,264
