DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2018-12-31,0,0,0,0,0,0,0,0,0,7,7
2019-01-02,6,1,102.8571436745857,101.16142845152856,102.8571436745857,101.16142845152856,7,7,7.0,282,282
2019-01-03,27,24,101.40468752622999,101.94282961606402,77.709154374604,78.20086036443799,50,50,0.87,220,220
2019-01-04,49,4,85.45766210556401,82.80846850394798,76.499304933552,74.64441408156999,50,50,0.82,182,182
2019-01-07,44,5,66.50600008010804,65.33019991159401,128.07860029220598,126.03499919891198,50,50,0.81,263,263
2019-01-08,33,19,69.94520040273598,69.78279968023801,75.84386408806,75.62637329102,50,50,0.85,296,296
2019-01-09,22,29,75.40901019572999,75.77432378768601,73.73414012909001,74.13454779624799,50,50,0.79,246,246
2019-01-10,34,18,66.16467136859801,65.227610120782,57.02644464492799,55.964988174440016,50,50,0.86,221,221
2019-01-11,27,27,86.978540544506,87.48753229617803,85.05456871389799,85.91377233147396,50,50,0.81,249,249
2019-01-14,26,17,53.68513653517201,53.695377317665994,79.45228678226601,78.78357745527602,50,50,0.79,266,266
2019-01-15,33,18,86.42150722503003,84.89361359596403,80.86826661586403,79.64133445263403,50,50,0.8,187,187
2019-01-16,22,27,89.92284969686997,89.96170047640801,66.732529343366,66.81009103655998,50,50,0.83,216,216
2019-01-17,41,11,75.45605749011001,73.896299883124,57.82049516082001,56.755788005590006,50,50,0.77,208,208
2019-01-18,26,25,89.11586408853401,89.60499066472198,93.009464521404,93.47547060847599,50,50,0.75,186,186
2019-01-22,20,32,88.85815958023399,89.551585206986,74.56325944423602,75.30658542394602,50,50,0.8,263,263
2019-01-23,19,33,86.19864651203198,86.64585402012402,77.74726659775001,78.07466626167601,50,50,0.76,261,261
2019-01-24,38,15,86.33160003662599,84.93679943561399,77.09193664908598,76.29928061603802,50,50,0.8,294,294
2019-01-25,14,39,79.353047308922,79.74901565075,84.628018870348,85.62396584511198,50,50,0.76,194,194
2019-01-28,39,14,71.28853901862999,70.88430702209202,109.85926966190398,109.77936391830801,50,50,0.72,273,273
2019-01-29,31,19,81.48025671302798,81.32886919319797,74.589857053752,74.12006893634599,50,50,0.78,256,256
2019-01-30,34,18,105.99430037021403,103.832550954816,58.988392624854015,58.65960070610399,50,50,0.75,252,252
2019-01-31,35,16,79.70396631836799,78.815862360008,109.295866580012,108.56176232814803,50,50,0.82,237,237
2019-02-01,23,26,74.072502307896,74.28879530430198,79.794249558452,79.72613789320197,50,50,0.81,224,224
2019-02-04,33,16,63.88255785941599,63.52116708755999,115.807904181476,115.077286453244,50,50,0.79,194,194
