DATE,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2018-12-31,0,0,0,0,0,0,0,282,282
2019-01-07,10227.330869509084,10000.0,10262.47267196021,10000.0,48,50,0.8571428571428571,219,219
2019-01-08,10109.696155719856,10000.0,10145.137237599072,10000.0,50,50,0.87,180,180
2019-01-09,10067.18601331309,10000.0,10029.690296183693,10000.0,50,50,0.89,266,266
2019-01-10,10087.47135728325,10000.0,10027.537357340292,10000.0,50,50,0.91,293,293
2019-01-11,9996.045441717904,10000.0,9865.614821215078,10000.0,50,50,0.88,248,248
2019-01-14,10042.641303747145,10000.0,9969.028943952117,10000.0,50,50,0.89,221,221
2019-01-15,10085.761251408265,10000.0,10033.227475792086,10000.0,50,50,0.83,245,245
2019-01-16,9952.0392309068,10000.0,10010.132786984539,10000.0,50,50,0.83,269,269
2019-01-17,10160.259678734381,10000.0,10164.223819263396,10000.0,50,50,0.85,187,187
2019-01-18,9945.180479394478,10000.0,10007.458255578218,10000.0,50,50,0.9,218,218
2019-01-22,9935.4391781965,10000.0,9918.946665260799,10000.0,50,50,0.86,208,208
2019-01-23,9953.602115870777,10000.0,9910.127831765509,10000.0,50,50,0.87,182,182
2019-01-24,10164.277600541487,10000.0,10275.297270191306,10000.0,50,50,0.91,265,265
2019-01-25,9991.031405820548,10000.000000000007,9912.70640381374,10000.0,49,50,0.898989898989899,263,263
2019-01-28,9990.622111163524,10000.0,10078.32369093918,10000.0,50,50,0.9,293,293
2019-01-29,10035.278077624323,10000.0,10059.466993726357,10000.0,50,50,0.82,192,192
2019-01-30,10084.302576278758,10000.0,10056.019494958642,10000.0,50,50,0.85,274,274
2019-01-31,10077.4219838361,10000.0,10015.600448632587,10000.0,50,50,0.89,256,256
2019-02-01,10017.376311330541,10000.0,10051.301868168817,10000.0,50,50,0.89,251,251
2019-02-04,10103.463966635923,10000.0,10044.336086012396,10000.0,50,50,0.85,239,239
2019-02-05,10356.350128564098,10000.0,10001.883995523911,10000.000000000007,50,49,0.8181818181818182,222,222
2019-02-06,9917.037535470914,10000.0,9974.42013175179,10000.0,50,50,0.83,195,195
2019-02-07,9902.438385267382,10000.0,9841.218047514743,10000.0,50,50,0.87,245,245
2019-02-08,10082.070285063995,10000.0,10085.3697632614,10000.0,50,50,0.86,249,249
2019-02-11,10089.601393171013,10000.0,10104.135694413731,10000.000000000007,48,49,0.979381443298969,279,279
2019-02-12,10121.401039672643,10000.0,10073.663165355229,10000.0,50,50,0.85,185,185
2019-02-13,9978.826023216514,10000.0,9953.450193373603,10000.0,50,50,0.89,233,233
2019-02-14,10098.1841968025,10000.0,10088.050880177529,10000.0,50,50,0.86,214,214
2019-02-15,10049.32294304876,10000.0,10028.48691107168,10000.0,50,50,0.93,272,272
2019-02-19,10083.051332765554,10000.0,10037.673864274311,10000.0,50,50,0.85,392,392
2019-02-20,10034.15053382,10000.0,9992.153667843198,10000.0,50,50,0.87,276,276
2019-02-21,9932.488383887809,10000.0,9971.706011980947,10000.0,50,50,0.91,266,266
2019-02-22,10075.525504167856,10000.0,10082.015130040927,10000.0,50,50,0.93,287,287
2019-02-25,9986.19499032489,10000.0,9883.110630811632,10000.0,50,50,0.93,311,311
2019-02-26,9929.366942202856,10000.0,9973.044072593295,10000.0,50,50,0.87,237,237
2019-02-27,10050.902603792949,10000.0,10034.338361773796,10000.0,50,50,0.85,236,236
2019-02-28,10004.42529725564,10000.0,10045.135097793756,10000.0,50,50,0.9,271,271
2019-03-01,10031.500961920492,10000.0,10042.864769179172,10000.0,50,50,0.89,253,253
2019-03-04,9869.61544912699,10000.0,9935.639512080284,10000.0,50,50,0.93,271,271
2019-03-05,9903.096489432679,10000.0,9999.896218580128,10000.0,50,50,0.88,216,216
2019-03-06,9834.743329939594,10000.0,10080.87585208227,10000.0,50,50,0.87,228,228
2019-03-07,9828.894317908333,10000.0,10066.343049519819,10000.0,50,50,0.78,218,218
