DATE,LONG CORRECT,SHORT CORRECT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,282,155
2019-01-02,27,22,36,50,0.7906976744186046,220,104
2019-01-03,15,30,31,50,0.8024691358024691,171,73
2019-01-06,33,3,35,38,1.3150684931506849,263,101
2019-01-07,41,9,50,48,0.9693877551020408,296,128
2019-01-08,32,25,50,50,0.9,246,102
2019-01-09,17,29,49,50,0.6868686868686869,221,93
2019-01-10,18,26,26,50,0.9736842105263158,230,83
2019-01-13,22,21,34,49,1.072289156626506,266,112
2019-01-14,29,24,50,50,0.67,187,80
2019-01-15,21,12,31,49,0.9,216,85
2019-01-16,16,26,34,50,0.8809523809523809,208,89
2019-01-17,23,16,30,50,0.6875,165,65
2019-01-21,22,16,34,31,1.353846153846154,263,122
2019-01-22,20,36,42,50,0.9130434782608695,261,114
2019-01-23,24,31,41,50,1.054945054945055,294,136
2019-01-24,41,15,50,50,0.7,178,80
2019-01-27,12,25,46,34,1.1625,273,150
2019-01-28,40,17,50,50,0.74,256,98
2019-01-29,16,27,30,50,1.025,252,119
2019-01-30,27,27,38,50,0.9659090909090909,237,106
2019-01-31,36,23,49,49,0.673469387755102,195,77
2019-02-03,20,20,32,45,0.961038961038961,194,81
2019-02-04,29,15,39,42,0.9629629629629629,247,100
2019-02-05,24,23,36,50,1.0,248,118
2019-02-06,17,31,42,50,0.8695652173913043,280,119
2019-02-07,16,34,37,50,0.7701149425287356,158,76
2019-02-10,19,18,25,50,1.04,232,84
2019-02-11,25,24,35,49,0.8333333333333334,214,91
2019-02-12,13,23,30,50,1.0625,272,119
2019-02-13,18,35,44,50,0.7978723404255319,393,145
2019-02-14,28,13,33,50,0.891566265060241,261,91
2019-02-18,21,27,32,50,0.9024390243902439,264,100
2019-02-19,18,22,32,50,0.9390243902439024,288,126
2019-02-20,21,38,33,50,1.036144578313253,309,123
2019-02-21,24,27,43,49,0.717391304347826,205,71
2019-02-24,19,15,22,49,1.3098591549295775,237,109
2019-02-25,19,35,50,50,0.74,274,137
2019-02-26,19,23,36,50,1.0348837209302326,250,116
2019-02-27,31,31,50,50,0.71,268,104
2019-02-28,21,26,30,50,1.1,194,95
2019-03-03,25,25,43,50,0.7634408602150538,225,96
2019-03-04,13,36,34,50,0.7261904761904762,217,78
