DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,0,0,282,155
2019-01-02,27,22,6.77801370670003,-39.65674161919994,36,50,0.7906976744186046,220,104
2019-01-03,15,30,-28.070009231699956,44.91564798400007,31,50,0.8024691358024691,171,73
2019-01-06,33,3,97.65998768819998,-145.72994446740006,35,38,1.3150684931506849,263,101
2019-01-07,41,9,99.07869720490007,-46.6400135758,50,48,0.9693877551020408,296,128
2019-01-08,32,25,27.742493629100046,-3.63799679310006,50,50,0.9,246,102
2019-01-09,17,29,-4.647388219400018,7.997328758099986,49,50,0.6868686868686869,221,93
2019-01-10,18,26,36.6189808848,7.345953941599984,26,50,0.9868421052631579,230,83
2019-01-13,22,21,13.748846292399971,-0.32649916420004566,34,49,1.072289156626506,266,112
2019-01-14,29,24,-2.67534637420001,-10.929502129999989,50,50,0.67,187,80
2019-01-15,21,12,25.640014648299992,-65.2935836316,31,49,0.9,216,85
2019-01-16,16,25,11.864878952799957,18.737357738699995,34,50,0.8809523809523809,208,89
2019-01-17,23,16,39.97999501210002,-68.1885610228,30,50,0.6875,165,65
2019-01-21,22,16,-6.135310173300033,-8.290010452200008,34,31,1.353846153846154,263,122
2019-01-22,20,36,-6.729894161099999,35.31752014179998,42,50,0.9130434782608695,261,114
2019-01-23,24,31,7.874573826599965,13.627554178099965,41,50,1.043956043956044,294,136
2019-01-24,42,15,69.22001540649994,-14.313848257000066,50,50,0.69,178,80
2019-01-27,12,25,-42.46088850490002,35.009981155600045,46,34,1.1625,273,150
2019-01-28,40,17,27.917974472100003,-20.062502146100016,50,50,0.74,256,98
2019-01-29,16,27,-6.199217080799993,13.056558489600071,30,50,1.0375,252,119
2019-01-30,27,27,48.46749186529999,17.97605657550005,38,50,0.9659090909090909,237,106
2019-01-31,36,23,63.81408059579997,-17.60836577419996,49,49,0.673469387755102,195,77
2019-02-03,20,20,-1.4769368170999648,-14.701528311400004,32,45,0.961038961038961,194,81
2019-02-04,29,15,39.07360005379993,-21.57322764430003,39,42,0.9629629629629629,247,100
2019-02-05,24,23,26.81968593580008,29.15623021130005,36,50,1.0,248,118
2019-02-06,17,31,-17.076683997799996,12.9058707054,42,50,0.8695652173913043,280,119
2019-02-07,16,34,12.109718799099877,64.02995640040001,37,50,0.7701149425287356,158,76
2019-02-10,19,18,58.29000258430002,-40.170638322900004,25,50,1.04,232,84
2019-02-11,25,24,35.26658850889999,7.071658611299949,35,49,0.8333333333333334,214,91
2019-02-12,13,23,-5.134999513599986,17.621398449400047,30,50,1.0625,272,119
2019-02-13,18,35,-19.028537273399966,40.79862669680004,44,50,0.7978723404255319,393,145
