DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-01-01,0,0,0,0,0,0,0,0,0,282,155
2019-01-02,27,22,1973.012787580901,1966.2347738741998,4334.292483568199,4294.6357419490005,36,50,0.7906976744186046,220,104
2019-01-03,15,30,4847.390019416602,4875.4600286483,4066.0882567165986,4111.0039047006,31,50,0.8024691358024691,171,73
2019-01-06,33,3,3096.439981222401,2998.7799935342,5182.749963522001,5037.020019054599,35,38,1.3150684931506849,263,101
2019-01-07,41,9,5554.255400181,5455.1767029761,3349.0475066305,3302.4074930546994,50,48,0.9693877551020408,296,128
2019-01-08,32,25,2801.6650097366996,2773.9225161076,3324.9097954034987,3321.2717986104,50,50,0.9,246,102
2019-01-09,17,29,2504.819399118701,2509.4667873381,2986.4009308817,2994.3982596398,49,50,0.6868686868686869,221,93
2019-01-10,18,26,1874.3199899791998,1837.7010090944,4436.694934606198,4444.0408885478,26,50,0.9868421052631579,230,83
2019-01-13,22,21,2781.5438470839,2767.7950007915,3252.046517073999,3251.720017909799,34,49,1.072289156626506,266,112
2019-01-14,29,24,2227.5720014574995,2230.2473478317,3132.8386526111003,3121.9091504811004,50,50,0.67,187,80
2019-01-15,21,12,2574.7199931144,2549.0799784661,3815.0757114887,3749.7821278571005,31,49,0.9,216,85
2019-01-16,16,25,2424.6681382061997,2412.8032592534005,2620.5809736359993,2639.3183313746995,34,50,0.8809523809523809,208,89
2019-01-17,23,16,2142.4674887655997,2102.4874937534996,4319.9825930597,4251.7940320369,30,50,0.6875,165,65
2019-01-21,22,16,2553.0767698287,2559.212080002,1482.5700063704,1474.2799959182,34,31,1.353846153846154,263,122
2019-01-22,20,36,2128.1815304756,2134.9114246367,1772.5999929907002,1807.9175131325,42,50,0.9130434782608695,261,114
2019-01-23,24,31,3587.087323725101,3579.2127498984996,3436.2938790323,3449.9214332104,41,50,1.043956043956044,294,136
2019-01-24,42,15,3362.5500161647005,3293.3300007581997,2943.8189300295007,2929.505081772499,50,50,0.69,178,80
2019-01-27,12,25,3167.7230240107992,3210.1839125157003,2275.1250102518993,2310.1349914074995,46,34,1.1625,273,150
2019-01-28,40,17,2301.1070675848,2273.1890931126995,2785.8149882855,2765.7524861394,50,50,0.74,256,98
2019-01-29,16,27,4068.621509790599,4074.820726871401,2950.4631153345995,2963.5196738241993,30,50,1.0375,252,119
2019-01-30,27,27,2976.4349886180003,2927.967496752699,2965.4539899826987,2983.4300465582014,38,50,0.9659090909090909,237,106
2019-01-31,36,23,5567.310915827699,5503.4968352319,2424.3862965107,2406.7779307365004,49,49,0.673469387755102,195,77
2019-02-03,20,20,2574.4223361015,2575.8992729186007,3239.2951581483003,3224.5936298368997,32,45,0.961038961038961,194,81
2019-02-04,29,15,3611.492269635299,3572.4186695814997,4859.225707412299,4837.652479768,39,42,0.9629629629629629,247,100
2019-02-05,24,23,3966.2505408524007,3939.4308549166,2651.7192553282002,2680.8754855394996,36,50,1.0,248,118
2019-02-06,17,31,3008.0191450120997,3025.0958290099,2719.5760421754,2732.481912880799,42,50,0.8695652173913043,280,119
2019-02-07,16,34,3403.1922597883995,3391.0825409893,3856.3424817921004,3920.3724381925003,37,50,0.7701149425287356,158,76
2019-02-10,19,18,1790.870009303,1732.5800067187004,3460.1986691952993,3420.028030872399,25,50,1.04,232,84
2019-02-11,25,24,2394.358715355299,2359.0921268464,3052.5330297946007,3059.604688405899,35,49,0.8333333333333334,214,91
2019-02-12,13,23,2625.918345451301,2631.053344964899,3022.575005531301,3040.1964039807003,30,50,1.0625,272,119
2019-02-13,18,35,3074.9001076221,3093.928644895501,3060.679664560501,3101.4782912573005,44,50,0.7978723404255319,393,145
2019-02-14,28,13,3233.3599965574003,3161.3400166035,4133.0150110722,4083.3449735640006,33,50,0.891566265060241,261,91
