word,O+ value,O- value
beat estimate,0.16443001917482974,0.10297992836502268
f show,0.01894497059289373,0.009859907972886378
outperform rat,0.03792756200091675,0.027934315009534028
high volume,0.03298463842136528,0.015607149688534508
raise outlook,0.05428757306839255,0.02841596804403631
week low,0.025590959310966402,0.08308290631660943
low yesterday,0.016607362358016957,0.04327712548410448
unconfirmed chatter,0.013921808792980129,0.004514377117723962
miss estimate,0.0457681850972588,0.08267479576495274
cut outlook,0.004754456183635056,0.019226637695141782
worst perform,0.0036026994028467915,0.022474067477491894
week high,0.12821036786243617,0.06822817021814027
high yesterday,0.0944153059673007,0.04516881047517373
august st,0.00869067953654739,0.006281800737917195
rally three,0.031437582944311974,0.013973799126637555
plummet three,0.0038096277758792613,0.012847541280344247
make new,0.04767001207016287,0.032956388444821544
week far,0.0029156938063148747,0.0022873816535336168
far today,0.004288318722380989,0.0024236397577708144
advance auto,0.0024481006709782763,0.017619540898261267
unite continental,0.008461978634505832,0.003215659971706009
four days,0.0047967431463772974,0.007749072297867759
see unusual,0.024558023427992397,0.014727920447717672
rally four,0.004943906583534846,0.007210904050793635
days sell,0.005363238104113522,0.007940387205886504
trade ex,0.018373448768364796,0.025986682380855594
ex dividend,0.021088324526524274,0.02886954451647141
miss view,0.00582409634081011,0.013871382759776375
capital one,0.000698982003922468,0.020043267567953882
public offer,0.0004382734912822905,0.018957268286564126
steel aluminum,0.014171387032850303,0.002194488266059403
midstream partner,0.011708000483460552,0.009154612325409532
spruce point,0.00564916678669162,0.014029737351017011
finish line,0.0,0.028118093450535144
circuit breaker,0.012875703923597881,0.005589890489117246
halt circuit,0.008092698694871583,0.004446430179509239
size disclose,0.004142680096281708,0.011924824522904415
bed bath,0.0,0.014447726552386679
bath beyond,0.0,0.012378972934617765
sector weight,0.005679085669890955,0.01111896231516827
dish network,0.0,0.01701105264846534
major average,0.018020272958076334,0.0007735336470321981
steel dynamics,0.024525186954011728,0.0014147445616471996
japan russia,0.0,0.019671892551628628
regional russia,0.0,0.02249465217841401
canada japan,0.0,0.02031265387755759
russia canada,0.0,0.014156271054145644
check major,0.017834685593199753,0.0001906029255551875
average dow,0.010710561282177617,0.0001645171545981058
sector staple,0.02933763173704749,0.0
