word,O+ value,O- value
tumble ahead,0.0008818795913402556,0.004511729507517155
high volume,0.047635042467039854,0.009165068024129676
sharply higher,0.01673185466577663,0.0011924675209077878
week low,0.2941146474585325,0.5048007761361776
low yesterday,0.15851877512222576,0.3048944510921479
cut guidance,0.012108415984334249,0.015656837334402502
second half,0.01682122785955416,0.0023321834396126577
weak guidance,0.00936230726816873,0.004838645764897332
cut outlook,0.01612425893023801,0.012591812608514202
dow indices,0.022378637590289602,0.0021715205724523448
indices announce,0.01207022401641861,0.0019488885229232487
ross store,0.017660213202910578,0.002945692679738083
city southern,0.010188325318639025,0.003354438234340628
include engineer,0.004346609514475265,0.0008016024131788559
unite continental,0.04695995161619498,0.0040048809555728
property group,0.030007742588799458,0.00399055342093732
republic service,0.022567416738700163,1.074716133503759e-05
union pacific,0.011454143617460976,0.003601009190304192
may push,0.00015901332899381475,0.001188008613302784
push back,0.0019460958911007922,0.0020306287913816994
back vote,0.0,0.0013593876107977432
long take,9.686450931816045e-05,0.0013241984563672228
take value,0.00015901332899381475,0.001188008613302784
gross proceed,0.0064348626302950076,0.007466183181492206
public offer,0.0051536011370114055,0.010260328693694771
offer common,0.020308778601540314,0.02009968104179368
secondary offer,0.0065799339448952875,0.008471725448325446
reach agreement,0.009120785617423714,0.002637217074902096
spruce point,0.02405821963381205,0.012797616793686975
rate decision,0.0031046312132935413,0.002299054963295837
include alphabet,0.008130233451891495,0.0010785782573020208
pulse delay,0.0,0.0018799972305848197
delay data,0.0,0.0018799972305848197
halt vaccine,0.0,0.0018799972305848197
vaccine trial,0.0038764720037030454,0.0027584030173670405
pop high,0.013989868352092424,0.001582426138970755
align tech,0.0014822031347778877,0.0030980636791420706
f network,0.012738485490774299,0.0031412006142185088
consumer staple,0.03668231987756119,0.0
pulse puma,0.0024296976322790496,0.0051956027767512325
license application,0.009483133549420368,0.0015898439211146022
consumer health,0.005625535682568041,0.0027371687509568083
care venture,0.0,0.002482117269739043
quarter end,0.015995211566288674,0.0030574180116359545
space storage,0.0024378053752665946,0.0037918888373474615
show strength,0.012528863257524813,0.0012217141014602923
receive orphan,0.011558237794523753,0.0011747919335587907
feed rate,0.003808864427289028,0.0018454141417988846
fox factory,0.0,0.0056700329954494305
office depot,0.03217959501626268,0.0
